benchmark_id,source_dataset,source_split,question_en_original,question_type,reasoning_family,answer_mode,num_answers,num_evidences,num_supporting_facts,reconstructability_score_v2,translation_ready_text,needs_translation,needs_rephrase
2wiki_bd9d0ce0090e11ebbdadac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, Jonah Who Lived In The Whale or Trouble In Texas?",comparison,comparison,single,1,0,0,4,"Which film came out first, Jonah Who Lived In The Whale or Trouble In Texas?",True,True
2wiki_d6d8664508e211ebbda4ac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, King Of The Corner or Song Of The Soul?",comparison,comparison,single,1,0,0,4,"Which film came out first, King Of The Corner or Song Of The Soul?",True,True
2wiki_4baab71108f711ebbdaaac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, Raiders Of The Lost Ark or The Big Snake Of The World?",comparison,comparison,single,1,0,0,4,"Which film came out first, Raiders Of The Lost Ark or The Big Snake Of The World?",True,True
2wiki_7fbdef41091011ebbdadac1f6bf848b6,2wikimultihopqa,dev,"Which film was released earlier, The Best Thief In The World or Revenge Of The Pirates?",comparison,comparison,single,1,0,0,4,"Which film was released earlier, The Best Thief In The World or Revenge Of The Pirates?",True,True
2wiki_1f697282090711ebbdadac1f6bf848b6,2wikimultihopqa,train,"Which film was released earlier, Desire In The Dust or In The Beginning There Was Underwear?",comparison,comparison,single,1,0,0,4,"Which film was released earlier, Desire In The Dust or In The Beginning There Was Underwear?",True,True
2wiki_4d0b4bde092011ebbdaeac1f6bf848b6,2wikimultihopqa,test,"Which film was released earlier, Get That Man or The Eagle Of The Sea?",comparison,comparison,single,0,0,0,4,"Which film was released earlier, Get That Man or The Eagle Of The Sea?",True,True
2wiki_5eed803f08a511ebbd7dac1f6bf848b6,2wikimultihopqa,dev,"Which film was released earlier, Priests Ćira And Spira or In The Name Of The Girl?",comparison,comparison,single,1,0,0,4,"Which film was released earlier, Priests Ćira And Spira or In The Name Of The Girl?",True,True
2wiki_2133a610087811ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",True,True
2wiki_7d636b62087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",True,True
2wiki_7e548b64087011ebbd63ac1f6bf848b6,2wikimultihopqa,train,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",True,True
2wiki_0f7b7fac088611ebbd6dac1f6bf848b6,2wikimultihopqa,test,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",bridge_comparison,bridge_comparison,single,0,0,0,-1,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",True,True
2wiki_0443533c087a11ebbd67ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",bridge_comparison,bridge_comparison,single,0,0,0,-1,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",True,True
2wiki_9b97ad8808d811ebbd9cac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",True,True
2wiki_c865dadd089311ebbd75ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",True,True
2wiki_c5ca44ee08a111ebbd79ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",True,True
2wiki_9e841e45087611ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",bridge_comparison,bridge_comparison,single,1,0,0,-1,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",True,True
2wiki_fba75768087011ebbd63ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",bridge_comparison,bridge_comparison,single,0,0,0,-1,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",True,True
