source_id,benchmark_id,source_dataset,source_split,question_en_original,answer_text,answer_mode,primary_reasoning_family,program_signature,program_length,hop_count_estimate,reconstructability_score_v2,domain,target_domain_ru,manual_decision,manual_bucket,russian_reconstruction_idea,notes,needs_translation,needs_rephrase,translation_source_text,translation_target_language,translation_instruction,translation_stage,rephrase_source_language,rephrase_mode
kqapro_train_093938,kqapro_train_093938,kqapro,train,Which person received the 54th Annual Grammy Awards and won the MTV Video Music Award for Best Art Direction (the point in time of this statement is 2011)?,Adele,single,multi_hop,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,25,,,,,,,True,True,Which person received the 54th Annual Grammy Awards and won the MTV Video Music Award for Best Art Direction (the point in time of this statement is 2011)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_051875,kqapro_train_051875,kqapro,train,What theatrical genre is situation comedy and was nominated for a Primetime Emmy Award for Outstanding Directing for a Comedy Series in the year 1968?,The Monkees,single,multi_hop,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,25,,,,,,,True,True,What theatrical genre is situation comedy and was nominated for a Primetime Emmy Award for Outstanding Directing for a Comedy Series in the year 1968?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_012433,kqapro_train_012433,kqapro,train,What person is a participant in the First Continental Congress and is president of the United States of America until the ending date in 1801?,John Adams,single,multi_hop,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,25,,,,,,,True,True,What person is a participant in the First Continental Congress and is president of the United States of America until the ending date in 1801?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_024590,kqapro_train_024590,kqapro,train,Which MTV Video MusicAward was nominated to Aaliyah and also to Alanis Morissette (the point in time of this statement is 2000) ?,MTV Video Music Award for Best Choreography,single,multi_hop,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,25,,,,,,,True,True,Which MTV Video MusicAward was nominated to Aaliyah and also to Alanis Morissette (the point in time of this statement is 2000) ?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_078807,kqapro_train_078807,kqapro,train,What big city has a population that is less than 2900000000 (the point in time of this statement is 2010) and a Dewey Decimal Classification of 2--79493?,Pasadena,single,logical_set,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What big city has a population that is less than 2900000000 (the point in time of this statement is 2010) and a Dewey Decimal Classification of 2--79493?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_084257,kqapro_train_084257,kqapro,train,Which administrative territorial entity has a population less than 63000000 in 1972 and an ISO 3166-1 numeric code of 136?,Cayman Islands,single,logical_set,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,Which administrative territorial entity has a population less than 63000000 in 1972 and an ISO 3166-1 numeric code of 136?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_090019,kqapro_train_090019,kqapro,train,Which political party has an sRGB color hex triplet of 0087DC and a member count greater than 59000 (the point in time of this statement is 2013)?,Conservative Party,single,logical_set,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,Which political party has an sRGB color hex triplet of 0087DC and a member count greater than 59000 (the point in time of this statement is 2013)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_074826,kqapro_train_074826,kqapro,train,Who is the person with CANTIC-ID a10073449 and a net worth of greater than 380000000 U.S. dollars (the point in time of this statement is 2017)?,Johnny Depp,single,logical_set,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,Who is the person with CANTIC-ID a10073449 and a net worth of greater than 380000000 U.S. dollars (the point in time of this statement is 2017)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_081043,kqapro_train_081043,kqapro,train,What is the name of the sovereign state whose demonym is jonguo and whose Human Development Index is less than 0.9 in 2014?,People's Republic of China,single,logical_set,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What is the name of the sovereign state whose demonym is jonguo and whose Human Development Index is less than 0.9 in 2014?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_val_009265,kqapro_val_009265,kqapro,val,"What form of government reached a population of 5762673 in 1983, and is known by having its nominal GDP per capital of 7500 USD?",Bolivia,single,logical_set,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterNum -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,"What form of government reached a population of 5762673 in 1983, and is known by having its nominal GDP per capital of 7500 USD?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_061509,kqapro_train_061509,kqapro,train,What visual artwork was published after 1995 and titled 十面埋伏 (the transliteration of this statement is Shi mian mai fu) ?,House of Flying Daggers,single,logical_set,FindAll -> FilterYear -> FilterConcept -> FindAll -> FilterStr -> QFilterStr -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What visual artwork was published after 1995 and titled 十面埋伏 (the transliteration of this statement is Shi mian mai fu) ?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_088381,kqapro_train_088381,kqapro,train,What visual artwork is costing less than 240000000 USD and it was published in Hungary on 26th February 2009 ?,He's Just Not That into You,single,logical_set,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterDate -> QFilterStr -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What visual artwork is costing less than 240000000 USD and it was published in Hungary on 26th February 2009 ?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_009429,kqapro_train_009429,kqapro,train,What big city's population is over 5.3 and electorate is not 97000 (this statement's date is 2010-01-15)?,Makati,single,logical_set,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterNum -> QFilterDate -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What big city's population is over 5.3 and electorate is not 97000 (this statement's date is 2010-01-15)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_050839,kqapro_train_050839,kqapro,train,What film is the one whose exploitation visa number 28767 was in 1964 and whose duration is 148 minutes ?,Becket,single,logical_set,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> FindAll -> FilterNum -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What film is the one whose exploitation visa number 28767 was in 1964 and whose duration is 148 minutes ?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_val_008716,kqapro_val_008716,kqapro,val,What Louisiana parish's area is 1663 square kilometers and population is over 3.3 in the year 2015?,Jefferson Parish,single,logical_set,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,21,,,,,,,True,True,What Louisiana parish's area is 1663 square kilometers and population is over 3.3 in the year 2015?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_089559,kqapro_train_089559,kqapro,train,Which United States state has the nickname Mother of the Presidents and Mother of the Statesmen and has a population greater than 0.8 (the determination method of this statement is census)?,Virginia,single,logical_set,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterStr -> FilterConcept -> And -> What,9,1,19,,,,,,,True,True,Which United States state has the nickname Mother of the Presidents and Mother of the Statesmen and has a population greater than 0.8 (the determination method of this statement is census)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_048912,kqapro_train_048912,kqapro,train,What national association football team belongs to the constitutional monarchy whose population is 35820705 (the point in time of this statement is 1969)?,Thailand national football team,single,qualifier,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What national association football team belongs to the constitutional monarchy whose population is 35820705 (the point in time of this statement is 1969)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_089268,kqapro_train_089268,kqapro,train,Which video game developer is the child organization of the organization whose operating income was less than 1700000000 euros in 2015?,Gameloft,single,qualifier,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,Which video game developer is the child organization of the organization whose operating income was less than 1700000000 euros in 2015?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_092484,kqapro_train_092484,kqapro,train,What Power Rangers originates in the sovereign state whose nominal GDP is 4346734000000 United States dollars in the year 1985?,Mighty Morphin Power Rangers,single,qualifier,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What Power Rangers originates in the sovereign state whose nominal GDP is 4346734000000 United States dollars in the year 1985?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_050852,kqapro_train_050852,kqapro,train,"What engineering field is the part of an industry related to an agent whose total assets equalled 493,071,000,000 USD in 2015?",mechanical engineering,single,qualifier,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,"What engineering field is the part of an industry related to an agent whose total assets equalled 493,071,000,000 USD in 2015?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_080908,kqapro_train_080908,kqapro,train,"What animated feature film includes a voice actor, playing Rapunzel, whose Deutsche Synchronkartei actor-ID is 5701 ?",Shrek the Third,single,qualifier,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,17,,,,,,,True,True,"What animated feature film includes a voice actor, playing Rapunzel, whose Deutsche Synchronkartei actor-ID is 5701 ?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_028104,kqapro_train_028104,kqapro,train,What visual artwork received an award whose winner is Barrie M. Osborne at the the Academy Awards having a beginning date in the year 1929?,The Lord of the Rings: The Return of the King,single,qualifier,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,17,,,,,,,True,True,What visual artwork received an award whose winner is Barrie M. Osborne at the the Academy Awards having a beginning date in the year 1929?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_086137,kqapro_train_086137,kqapro,train,Which person was nominated for the award whose start time is before 1960 (the award-winning work of this statement is Death of a Salesman),Kevin McCarthy,single,qualifier,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,17,,,,,,,True,True,Which person was nominated for the award whose start time is before 1960 (the award-winning work of this statement is Death of a Salesman),ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_085318,kqapro_train_085318,kqapro,train,What work is part of the film series which was published in 2008 (the series ordinal of this statement is 1)?,Taken,single,qualifier,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,17,,,,,,,True,True,What work is part of the film series which was published in 2008 (the series ordinal of this statement is 1)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_019814,kqapro_train_019814,kqapro,train,Who was the first overall draft pick of the National Basketabll Association Draft before 2004?,LeBron James,single,qualifier,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,17,,,,,,,True,True,Who was the first overall draft pick of the National Basketabll Association Draft before 2004?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_009875,kqapro_train_009875,kqapro,train,What Roman deity is the origin of the calendar-month name whose series ordinal is 3 (the applied criterion of this statement is ISO 8601)?,Mars,single,qualifier,FindAll -> FilterStr -> QFilterStr -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What Roman deity is the origin of the calendar-month name whose series ordinal is 3 (the applied criterion of this statement is ISO 8601)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_020501,kqapro_train_020501,kqapro,train,What person is the partner of the individual whose Deutsche Synchronkartei actor-ID is 3108 until the ending year 1993?,Harvey Keitel,single,qualifier,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterYear -> FilterConcept -> What,7,1,17,,,,,,,True,True,What person is the partner of the individual whose Deutsche Synchronkartei actor-ID is 3108 until the ending year 1993?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_092757,kqapro_train_092757,kqapro,train,What person is the narrator of the visual artwork whose exploitation visa number is 95267 (the start date of this statement is in 1998)?,Johnny Depp,single,qualifier,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What person is the narrator of the visual artwork whose exploitation visa number is 95267 (the start date of this statement is in 1998)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_017656,kqapro_train_017656,kqapro,train,Which land-grant university is located in a United-States state whose short name is SC (the start time of this statement is 1963)?,Clemson University,single,qualifier,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,Which land-grant university is located in a United-States state whose short name is SC (the start time of this statement is 1963)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_044690,kqapro_train_044690,kqapro,train,What person is the spouse of the individual whose Deutsche Synchronkartei actor-ID is 8136 (this statement's start date is 1983-01-01)?,Jim Carter,single,qualifier,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What person is the spouse of the individual whose Deutsche Synchronkartei actor-ID is 8136 (this statement's start date is 1983-01-01)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_053829,kqapro_train_053829,kqapro,train,"Which town is, since 1st January 1956, the twinned administrative body of a big city whose local dialing code is 06131 ?",Watford,single,qualifier,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,17,,,,,,,True,True,"Which town is, since 1st January 1956, the twinned administrative body of a big city whose local dialing code is 06131 ?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_064200,kqapro_train_064200,kqapro,train,What person was nominated for the literary award whose RIA Novosti reference is 54756131 on the date 1907-01-01?,Rudyard Kipling,single,qualifier,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What person was nominated for the literary award whose RIA Novosti reference is 54756131 on the date 1907-01-01?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_val_004047,kqapro_val_004047,kqapro,val,What person appears in the film whose exploitation visa number is 66874 (this statement's start date is 1990-03-16)?,Cyrano de Bergerac,single,qualifier,FindAll -> FilterStr -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,What person appears in the film whose exploitation visa number is 66874 (this statement's start date is 1990-03-16)?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_087120,kqapro_train_087120,kqapro,train,"Who is the person born in a state of India, with the population of 68,548,437 people on 1st January 2011?",Om Shivpuri,single,qualifier,FindAll -> FilterNum -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,17,,,,,,,True,True,"Who is the person born in a state of India, with the population of 68,548,437 people on 1st January 2011?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
