benchmark_id,question_en_original,surface_template,question_type,reasoning_family,answer_mode,num_answers,num_evidences,num_supporting_facts,bridge_depth_estimate,domain_hint,reconstructability_score_v2,reconstruction_bucket_v2,pattern_count,pattern_score_max,pattern_score_mean,pattern_domains,manual_decision,manual_bucket,notes
2wiki_bd9d0ce0090e11ebbdadac1f6bf848b6,"Which film came out first, Jonah Who Lived In The Whale or Trouble In Texas?","which film came out first, jonah who lived in <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_d6d8664508e211ebbda4ac1f6bf848b6,"Which film came out first, King Of The Corner or Song Of The Soul?","which film came out first, king of <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_4baab71108f711ebbdaaac1f6bf848b6,"Which film came out first, Raiders Of The Lost Ark or The Big Snake Of The World?","which film came out first, raiders of <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_7fbdef41091011ebbdadac1f6bf848b6,"Which film was released earlier, The Best Thief In The World or Revenge Of The Pirates?","which film was released earlier, <ent> pirates?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_1f697282090711ebbdadac1f6bf848b6,"Which film was released earlier, Desire In The Dust or In The Beginning There Was Underwear?","which film was released earlier, desire in <ent>underwear?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_4d0b4bde092011ebbdaeac1f6bf848b6,"Which film was released earlier, Get That Man or The Eagle Of The Sea?","which film was released earlier, get that man or <ent>?",comparison,comparison,single,0,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_5eed803f08a511ebbd7dac1f6bf848b6,"Which film was released earlier, Priests Ćira And Spira or In The Name Of The Girl?","which film was released earlier, priests ćira and spira or in <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_2133a610087811ebbd67ac1f6bf848b6,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?","which film whose director is younger, when <ent>?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,3,-1.0,-1.6666666666666667,['movies'],,,
2wiki_7d636b62087011ebbd63ac1f6bf848b6,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?","which film has <ent>, in <ent>?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,2,-1.0,-1.5,['movies'],,,
2wiki_7e548b64087011ebbd63ac1f6bf848b6,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?","do both films, in <ent>, have <ent>?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_0f7b7fac088611ebbd6dac1f6bf848b6,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?","which film has <ent>, in <ent>men?",bridge_comparison,bridge_comparison,single,0,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_0443533c087a11ebbd67ac1f6bf848b6,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?","which film whose director is younger, dance, girl, dance or in <ent>?",bridge_comparison,bridge_comparison,single,0,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_9b97ad8808d811ebbd9cac1f6bf848b6,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?","which film whose director is younger, legionnaires in paris or dawn of <ent>?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_c865dadd089311ebbd75ac1f6bf848b6,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?","which film whose director is younger, rise of <ent>intelligence?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_c5ca44ee08a111ebbd79ac1f6bf848b6,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?","which film whose director is younger, that sinking feeling or north of <ent> (film)?",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_9e841e45087611ebbd67ac1f6bf848b6,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??","which film whose director is younger, time to leave or who's who in <ent>??",bridge_comparison,bridge_comparison,single,1,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
2wiki_fba75768087011ebbd63ac1f6bf848b6,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?","which film whose director was born first, conquest of <ent>jenson?",bridge_comparison,bridge_comparison,single,0,0,0,4,movies,-1,drop,1,-1.0,-1.0,['movies'],,,
