benchmark_id,source_dataset,source_split,question_en_original,question_ru,reasoning_family,question_type,answer_mode,gold_answers,gold_qids,num_answers,supporting_facts,num_supporting_facts,context_docs,num_context_docs,evidences,num_evidences,bridge_depth_estimate,shallow_bridge_flag,strength_bucket,raw_answer,raw_type,translation_ready_text,needs_translation,needs_rephrase,reconstructability_score,surface_template,domain_hint,question_family,shallow_bridge_reason,is_shallow_bridge_v2,is_bridge_comparison,is_compositional,is_inference,is_comparison,is_single_answer,is_list_like,has_multi_answers,has_rich_evidence,movie_director_pattern,reconstructability_score_v2,reconstruction_bucket_v2,pattern_count,pattern_score_max,pattern_score_mean,pattern_domains
2wiki_59b56a22087911ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Cattle Drive or Pirates Of The Caribbean: The Curse Of The Black Pearl?",,comparison,comparison,single,['Cattle Drive'],[],1,[],0,[],0,[],0,3,False,medium,Cattle Drive,comparison,"Which film came out earlier, Cattle Drive or Pirates Of The Caribbean: The Curse Of The Black Pearl?",True,True,5,"which film came out earlier, cattle drive or pirates of <ent>: <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_28f4c30c086e11ebbd62ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Strategy Of Terror or The Lord Of The Rings: The Fellowship Of The Ring?",,comparison,comparison,single,['Strategy Of Terror'],[],1,[],0,[],0,[],0,3,False,medium,Strategy Of Terror,comparison,"Which film came out earlier, Strategy Of Terror or The Lord Of The Rings: The Fellowship Of The Ring?",True,True,5,"which film came out earlier, strategy of terror or <ent>: <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_e6ec1d6c08b911ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Tea In The Harem or Chairman Of The Board (Film)?",,comparison,comparison,single,['Tea In The Harem'],[],1,[],0,[],0,[],0,3,False,medium,Tea In The Harem,comparison,"Which film came out earlier, Tea In The Harem or Chairman Of The Board (Film)?",True,True,5,"which film came out earlier, tea in <ent> (film)?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_cfebdd60088e11ebbd70ac1f6bf848b6,2wikimultihopqa,test,"Which film came out earlier, Tempest In The Flesh or Law Of The Lash?",,comparison,comparison,single,[],[],0,[],0,[],0,[],0,3,False,medium,,comparison,"Which film came out earlier, Tempest In The Flesh or Law Of The Lash?",True,True,5,"which film came out earlier, tempest in <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_aabdb95608c411ebbd8eac1f6bf848b6,2wikimultihopqa,dev,"Which film came out earlier, Where Did You Get That Girl? or My Son John?",,comparison,comparison,single,['Where Did You Get That Girl?'],[],1,[],0,[],0,[],0,3,False,medium,Where Did You Get That Girl?,comparison,"Which film came out earlier, Where Did You Get That Girl? or My Son John?",True,True,5,"which film came out earlier, where did you get that girl? or my son john?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_f5e318fd089411ebbd75ac1f6bf848b6,2wikimultihopqa,test,"Which film came out earlier, White Sun Of The Desert or The Pursuit Of The Phantom?",,comparison,comparison,single,[],[],0,[],0,[],0,[],0,3,False,medium,,comparison,"Which film came out earlier, White Sun Of The Desert or The Pursuit Of The Phantom?",True,True,5,"which film came out earlier, white sun of <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_43c80a2e088a11ebbd6fac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, The Lord Of The Beasts or Dream Of The Rhine?",,comparison,comparison,single,['The Lord Of The Beasts'],[],1,[],0,[],0,[],0,3,False,medium,The Lord Of The Beasts,comparison,"Which film came out first, The Lord Of The Beasts or Dream Of The Rhine?",True,True,5,"which film came out first, <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_19ecad6a097d11ebbdb0ac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, The King Of The Street Cleaners or When The Meteor Shot Across The Sky?",,comparison,comparison,single,['The King Of The Street Cleaners'],[],1,[],0,[],0,[],0,3,False,medium,The King Of The Street Cleaners,comparison,"Which film came out first, The King Of The Street Cleaners or When The Meteor Shot Across The Sky?",True,True,5,"which film came out first, <ent>meteor shot across <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_bd9d0ce0090e11ebbdadac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, Jonah Who Lived In The Whale or Trouble In Texas?",,comparison,comparison,single,['Trouble In Texas'],[],1,[],0,[],0,[],0,3,False,medium,Trouble In Texas,comparison,"Which film came out first, Jonah Who Lived In The Whale or Trouble In Texas?",True,True,5,"which film came out first, jonah who lived in <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_d6d8664508e211ebbda4ac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, King Of The Corner or Song Of The Soul?",,comparison,comparison,single,['Song Of The Soul'],[],1,[],0,[],0,[],0,3,False,medium,Song Of The Soul,comparison,"Which film came out first, King Of The Corner or Song Of The Soul?",True,True,5,"which film came out first, king of <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_4baab71108f711ebbdaaac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, Raiders Of The Lost Ark or The Big Snake Of The World?",,comparison,comparison,single,['Raiders Of The Lost Ark'],[],1,[],0,[],0,[],0,3,False,medium,Raiders Of The Lost Ark,comparison,"Which film came out first, Raiders Of The Lost Ark or The Big Snake Of The World?",True,True,5,"which film came out first, raiders of <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_7fbdef41091011ebbdadac1f6bf848b6,2wikimultihopqa,dev,"Which film was released earlier, The Best Thief In The World or Revenge Of The Pirates?",,comparison,comparison,single,['Revenge Of The Pirates'],[],1,[],0,[],0,[],0,3,False,medium,Revenge Of The Pirates,comparison,"Which film was released earlier, The Best Thief In The World or Revenge Of The Pirates?",True,True,5,"which film was released earlier, <ent> pirates?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_1f697282090711ebbdadac1f6bf848b6,2wikimultihopqa,train,"Which film was released earlier, Desire In The Dust or In The Beginning There Was Underwear?",,comparison,comparison,single,['Desire In The Dust'],[],1,[],0,[],0,[],0,3,False,medium,Desire In The Dust,comparison,"Which film was released earlier, Desire In The Dust or In The Beginning There Was Underwear?",True,True,5,"which film was released earlier, desire in <ent>underwear?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_4d0b4bde092011ebbdaeac1f6bf848b6,2wikimultihopqa,test,"Which film was released earlier, Get That Man or The Eagle Of The Sea?",,comparison,comparison,single,[],[],0,[],0,[],0,[],0,3,False,medium,,comparison,"Which film was released earlier, Get That Man or The Eagle Of The Sea?",True,True,5,"which film was released earlier, get that man or <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_5eed803f08a511ebbd7dac1f6bf848b6,2wikimultihopqa,dev,"Which film was released earlier, Priests Ćira And Spira or In The Name Of The Girl?",,comparison,comparison,single,['Priests Ćira And Spira'],[],1,[],0,[],0,[],0,3,False,medium,Priests Ćira And Spira,comparison,"Which film was released earlier, Priests Ćira And Spira or In The Name Of The Girl?",True,True,5,"which film was released earlier, priests ćira and spira or in <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_2133a610087811ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",,bridge_comparison,bridge_comparison,single,['When The Gods Fall Asleep'],[],1,[],0,[],0,[],0,4,False,medium,When The Gods Fall Asleep,bridge_comparison,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",True,True,6,"which film whose director is younger, when <ent>?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,3,-1.0,-1.6666666666666667,['movies']
2wiki_7d636b62087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",,bridge_comparison,bridge_comparison,single,['In The Belly Of The Dragon'],[],1,[],0,[],0,[],0,4,False,medium,In The Belly Of The Dragon,bridge_comparison,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",True,True,6,"which film has <ent>, in <ent>?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,2,-1.0,-1.5,['movies']
2wiki_7e548b64087011ebbd63ac1f6bf848b6,2wikimultihopqa,train,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",,bridge_comparison,bridge_comparison,single,['no'],[],1,[],0,[],0,[],0,4,False,medium,no,bridge_comparison,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",True,True,6,"do both films, in <ent>, have <ent>?",movies,other,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_0f7b7fac088611ebbd6dac1f6bf848b6,2wikimultihopqa,test,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",True,True,6,"which film has <ent>, in <ent>men?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_0443533c087a11ebbd67ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",True,True,6,"which film whose director is younger, dance, girl, dance or in <ent>?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_9b97ad8808d811ebbd9cac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",,bridge_comparison,bridge_comparison,single,['Dawn Of The Planet Of The Apes'],[],1,[],0,[],0,[],0,4,False,medium,Dawn Of The Planet Of The Apes,bridge_comparison,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",True,True,6,"which film whose director is younger, legionnaires in paris or dawn of <ent>?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_c865dadd089311ebbd75ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",,bridge_comparison,bridge_comparison,single,['Central Intelligence'],[],1,[],0,[],0,[],0,4,False,medium,Central Intelligence,bridge_comparison,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",True,True,6,"which film whose director is younger, rise of <ent>intelligence?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_c5ca44ee08a111ebbd79ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",,bridge_comparison,bridge_comparison,single,['That Sinking Feeling'],[],1,[],0,[],0,[],0,4,False,medium,That Sinking Feeling,bridge_comparison,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",True,True,6,"which film whose director is younger, that sinking feeling or north of <ent> (film)?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_9e841e45087611ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",,bridge_comparison,bridge_comparison,single,['Time To Leave'],[],1,[],0,[],0,[],0,4,False,medium,Time To Leave,bridge_comparison,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",True,True,6,"which film whose director is younger, time to leave or who's who in <ent>??",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
2wiki_fba75768087011ebbd63ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",True,True,6,"which film whose director was born first, conquest of <ent>jenson?",movies,wh,,False,True,False,False,False,True,False,False,False,False,-1,drop,1,-1.0,-1.0,['movies']
