benchmark_id,source_dataset,source_split,use_role,import_mode,question_ru,question_en_original,reasoning_type,expected_cardinality,is_answerable,gold_preview,formal_query
ext_rubq2_dev_002120,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Как называется исторический период, разделяющий Средневековье и новейшее время?",What is the name of the historical period that separates the middle Ages and modern times?,"reverse_relation, multi_constraint",1,True,Новое время,SELECT ?answer WHERE { ?answer wdt:P156 wd:Q186075 . ?answer wdt:P155 wd:Q12554 }
ext_rubq2_dev_003001,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто был соавтором С. В. Михалкова в написании текста гимна Советского Союза?,Who was S. V. Mikhalkov's co-author in writing the text of the anthem of the Soviet Union?,"negation_or_exclusion, single_hop",1,True,Эль-Регистан,SELECT ?answer WHERE { wd:Q251918 wdt:P676 ?answer . FILTER (?answer not in ( wd:Q208116 )) }
ext_rubq2_dev_003049,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"Какой металл, кроме меди, присутствует в мельхиоровой посуде?","What metal, other than copper, is present in Melchior ware?","negation_or_exclusion, single_hop",3,True,железо | никель | цинк,SELECT ?answer WHERE { wd:Q3742035 wdt:P527 ?answer . FILTER (?answer not in ( wd:Q753 )) }
ext_rubq2_dev_003085,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какой класс животных называют рептилиями?,What class of animals are called reptiles?,"reverse_relation, single_hop",1,True,пресмыкающиеся,"SELECT ?answer WHERE { ?answer skos:altLabel ""рептилии""@ru }"
ext_rubq2_dev_003125,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Как звали персонажа Киану Ривза в трилогии «Матрица»?,What was the name of the character Keanu Reeves in the Matrix trilogy?,"multi_constraint, qualifier_answer",1,True,Нео,SELECT ?answer WHERE { wd:Q83495 p:P161 [ps:P161 wd:Q43416; pq:P453 ?answer] . }
ext_rubq2_dev_003130,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая актриса была замужем за Люком Бессоном?,Which actress was married to Luc Besson?,"reverse_relation, multi_constraint",3,True,Милла Йовович | Майвенн | Анн Парийо,SELECT ?answer WHERE { ?answer p:P26/ps:P26 wd:Q484779 . ?answer wdt:P106* wd:Q33999 }
ext_rubq2_dev_004003,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Сколько спутников у Марса?,How many moons does Mars have?,"count, single_hop",1,True,2,SELECT (COUNT(?sats) as ?answer) WHERE { wd:Q111 wdt:P398 ?sats. }
ext_rubq2_dev_004010,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто старше Гарри Поттер или Рон Уизли?,Who is older than Harry Potter or Ron Weasley?,"ranking, multi_constraint",1,True,Рон Уизли,SELECT ?answer WHERE { VALUES ?answer { wd:Q3244512 wd:Q173998 } ?answer wdt:P569 ?date . } ORDER BY ASC(?date) LIMIT 1
ext_rubq2_test_000194,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"В какой город переселился из Мекки Мухаммед в 622 году, дав тем самым точку отсчета для мусульманского летосчисления?","Which city did Muhammad move to from Mecca in 622, thus providing a reference point for the Muslim calendar?","negation_or_exclusion, single_hop",1,True,Медина,SELECT ?answer WHERE { wd:Q9458 wdt:P551 ?answer . FILTER (?answer not in ( wd:Q5806 )) }
ext_rubq2_test_000235,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая ветвь философии включает в себя изучение этики и эстетики?,Which branch of philosophy includes the study of ethics and aesthetics?,"negation_or_exclusion, single_hop",1,True,Аксиология,SELECT ?answer WHERE { wd:Q35986 wdt:P279 ?answer . FILTER (?answer not in ( wd:Q5891 )) }
ext_rubq2_test_000428,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какому композитору пришлось дописать оперу Мусоргского Хованщина?,What the composer had to finish the Opera Mussorgsky Khovanshchina?,"negation_or_exclusion, single_hop",2,True,Игорь Стравинский | Николай Андреевич Римский-Корсаков,SELECT ?answer WHERE { wd:Q917711 wdt:P86 ?answer . FILTER (?answer not in ( wd:Q132682 )) }
ext_rubq2_test_000496,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какой штат США американцы называют ""Штат Одинокой звезды""?","What US state do Americans call the ""lone star state""?","reverse_relation, single_hop",1,True,Техас,"SELECT ?answer WHERE { ?answer skos:altLabel ""Штат Одинокой звезды""@ru }"
ext_rubq2_test_000583,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Гражданство какой страны принял в 1982 году танцовщик Рудольф Нуриев после отказа вернуться в СССР в 1961 году?,Which country's citizenship did the dancer Rudolf Nuriev take in 1982 after refusing to return to the USSR in 1961?,"negation_or_exclusion, single_hop",1,True,Австрия,"SELECT ?answer WHERE { wd:Q84217 wdt:P27 ?answer . FILTER (?answer not in ( wd:Q15180, wd:Q159 )) }"
ext_rubq2_test_000826,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Как называется море, отделённое от Тихого океана цепью Алеутских островов?",What is the name of the sea separated from the Pacific ocean by a chain of Aleutian Islands?,"negation_or_exclusion, single_hop",1,True,Берингово море,SELECT ?answer WHERE { wd:Q119285 wdt:P206 ?answer . FILTER (?answer not in ( wd:Q98 )) }
ext_rubq2_test_002008,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кого называют ""солнечным клоуном""?","Who is called the ""solar clown""?","reverse_relation, single_hop",1,True,Олег Константинович Попов,"SELECT ?answer WHERE { ?answer skos:altLabel ""Солнечный клоун""@ru }"
ext_rubq2_test_002010,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Что надо умножить на скорость, чтобы получить импульс?",What do I need to multiply by speed to get an impulse?,"negation_or_exclusion, single_hop",1,True,масса,SELECT ?answer WHERE { wd:Q41273 wdt:P4934 ?answer . FILTER ( ?answer not in ( wd:Q11465 ) ) }
ext_rubq2_test_002012,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Как зовут первого президента России,What is the name of the first President of Russia,"reverse_relation, qualifier_constraint",1,True,Борис Николаевич Ельцин,"SELECT ?answer WHERE { ?answer p:P39 [ps:P39 wd:Q218295; pq:P1545 ""1""] . }"
ext_rubq2_test_002024,RuBQ_2.0,test,direct_ru_candidate,direct_ru,В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки?,Which club did legendary hockey player Wayne Gretzky end his career at?,"ranking, qualifier_constraint",1,True,Нью-Йорк Рейнджерс,SELECT ?answer WHERE { wd:Q209518 p:P54 [ ps:P54 ?answer; pq:P582 ?ending ] . } ORDER BY DESC(?ending) LIMIT 1
ext_rubq2_test_002032,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какая из башен стоит на Соборной площади, которую часто называют Поле чудес?","Which of the towers stands on the Cathedral square, which is often called the Field of miracles?","reverse_relation, multi_constraint",1,True,Пизанская башня,SELECT ?answer WHERE { ?answer wdt:P31/wdt:P279* wd:Q12518 . ?answer wdt:P669 wd:Q750245 }
ext_rubq2_test_002035,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая компания слилась с компанией Exxon для создания крупнейшей нефтяной корпорации?,Which company merged with Exxon to create the largest oil Corporation?,"negation_or_exclusion, single_hop",1,True,Мобил,SELECT ?answer WHERE { wd:Q156238 wdt:P155 ?answer . FILTER (?answer not in (wd:Q4781944)) }
ext_rubq2_test_002047,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Действие какой пьесы Шекспира происходит в Эльсиноре?,What Shakespeare play is set in Elsinore?,"reverse_relation, multi_constraint",1,True,"Гамлет, принц датский",SELECT ?answer WHERE { ?answer wdt:P50 wd:Q692 . ?answer wdt:P840 wd:Q26881 }
ext_rubq2_test_002057,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая из муз покровительствовала танцам,"Which of the muses, patron of dancing","reverse_relation, multi_constraint",1,True,Терпсихора,SELECT ?answer WHERE { ?answer wdt:P31 wd:Q66016 . ?answer wdt:P101 wd:Q11639 }
ext_rubq2_test_002060,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кто из участников группы ""Битлз"" был старше трёх остальных?","Who from participants of group ""Beatles"" was older than the other three?","ranking, multi_constraint",1,True,Ринго Старр,SELECT ?answer WHERE { wd:Q1299 wdt:P527 ?answer . ?answer wdt:P569 ?birth_date } ORDER BY ASC(?birth_date) LIMIT 1
ext_rubq2_test_002061,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какая страна ""делит"" остров Гаити с Гаити?","Which country ""shares"" the island of Haiti with Haiti?","negation_or_exclusion, single_hop",1,True,Доминиканская Республика,SELECT ?answer WHERE { wd:Q25277 wdt:P150 ?answer FILTER (?answer not in (wd:Q790) ) }
ext_rubq2_test_002066,RuBQ_2.0,test,direct_ru_candidate,direct_ru,В каком футбольном клубе Николя Анелька начинал свою карьеру?,What football club did Nicolas Anelka start his career at?,"ranking, multi_constraint",1,True,Пари Сен-Жермен,SELECT ?answer WHERE { wd:Q1939 p:P54 [ ps:P54 ?answer; pq:P580 ?start ] . ?answer wdt:P31 wd:Q476028 } ORDER BY ASC(?start) LIMIT 1
ext_rubq2_test_002072,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какое состязание, помимо прыжков с трамплина, входит в состав лыжного двоеборья?","What competition, in addition to ski jumping, is included in the ski double-event?","negation_or_exclusion, single_hop",1,True,лыжные гонки,SELECT ?answer WHERE { wd:Q201965 wdt:P527 ?answer FILTER (?answer not in ( wd:Q7718 )) }
ext_rubq2_test_002076,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кто носил такие псевдонимы, как ""Иван Петрович Белкин"" и ""Феофилакт Косичкин""?","Who wore such pseudonyms as ""Ivan Petrovich Belkin"" and ""Feofilakt Kosichkin""?","reverse_relation, single_hop",1,True,Александр Сергеевич Пушкин,"SELECT ?answer WHERE { ?answer wdt:P742 ""Иван Петрович Белкин"", ""Феофилакт Косичкин"" }"
ext_rubq2_test_002078,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какое направление в живописи основал Казимир Малевич?,What direction in painting was founded by Kazimir Malevich?,"reverse_relation, multi_constraint",1,True,Супрематизм,SELECT ?answer WHERE { ?answer wdt:P112 wd:Q130777 . ?answer wdt:P31 wd:Q968159 }
ext_rubq2_test_002079,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Кто является первым обладателем награды «Золотой мяч»?,Who is the first winner of the Golden ball award?,"ranking, qualifier_constraint",1,True,"Мэтьюз, Стэнли",SELECT ?answer WHERE { wd:Q166177 p:P1346 [ps:P1346 ?answer; pq:P585 ?year ] } ORDER BY ASC(?year) LIMIT 1
ext_rubq2_test_002082,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой военной профессией владели президент Израиля Эзер Вейцман и президент Египта Хосни Мубарак?,What military profession did Israeli President Ezer Weizman and Egyptian President Hosni Mubarak have?,"negation_or_exclusion, multi_constraint",1,True,лётчик,SELECT ?answer WHERE { wd:Q34105 wdt:P106 ?answer . wd:Q128911 wdt:P106 ?answer . FILTER (?answer not in ( wd:Q82955 )) }
ext_rubq2_test_002086,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какой язык, кроме английского, является официальным на конкурсе «Евровидение»?","What language, other than English, is official at the Eurovision song contest?","negation_or_exclusion, single_hop",1,True,французский язык,SELECT ?answer WHERE { wd:Q276 wdt:P407 ?answer FILTER (?answer not in ( wd:Q1860 )) }
ext_rubq2_test_002092,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Что, согласно закону Ома, получится, если напряжение разделить на сопротивление?","What, according to Ohm's law, will happen if the voltage is divided by the resistance?","negation_or_exclusion, single_hop",1,True,сила тока,SELECT ?answer WHERE { wd:Q25358 wdt:P4934 ?answer FILTER (?answer not in ( wd:Q25428 )) }
ext_rubq2_test_002103,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Что, кроме молока, добавляют в классический моккачино?","That, in addition to milk, add classic items from this collection?","negation_or_exclusion, single_hop",2,True,шоколад | кофе,SELECT ?answer WHERE { wd:Q739929 wdt:P527 ?answer FILTER (?answer not in ( wd:Q8495 )) }
ext_rubq2_test_002106,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Каким видом спорта занимался величайший игрок НБА Майкл Джордан во время перерыва в баскетбольной карьере?,"What sport did the NBA's greatest player, Michael Jordan, play during a break in his basketball career?","negation_or_exclusion, single_hop",1,True,бейсбол,SELECT ?answer WHERE { wd:Q41421 wdt:P641 ?answer FILTER (?answer not in ( wd:Q5372 )) }
ext_rubq2_test_002110,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кто вместе с Риной Зелёной написал сценарий советского фильма ""Подкидыш""?","Who together with Rina Zelenaya wrote the script of the Soviet film ""the foundling""?","negation_or_exclusion, single_hop",1,True,Агния Львовна Барто,SELECT ?answer WHERE { wd:Q4367638 wdt:P58 ?answer FILTER (?answer not in ( wd:Q435540 )) }
ext_rubq2_test_002119,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая опера завершает тетралогию Рихарда Вагнера «Кольцо Нибелунга»?,"Which Opera completes Richard Wagner's ""Ring of the Nibelung"" tetralogy?","ranking, qualifier_constraint",1,True,Гибель богов,SELECT ?answer WHERE { wd:Q190237 p:P527 [ ps:P527 ?answer; pq:P1545 ?num ] } ORDER BY DESC(?num) LIMIT 1
ext_rubq2_test_003002,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Как называется мера счета мелких галантерейных и канцелярских предметов, равная 144?",What is the measure of the account of small haberdashery and stationery items equal to 144?,"reverse_relation, multi_constraint",1,True,гросс,SELECT ?answer WHERE { ?answer wdt:P31 wd:Q2360980 . ?answer wdt:P1181 ?x . FILTER (?x = 144) }
ext_rubq2_test_003005,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Как называется пейзаж, изображающий море?",What is the name of a landscape depicting the sea?,"reverse_relation, multi_constraint",1,True,марина,SELECT ?answer WHERE { ?answer wdt:P279 wd:Q191163 . ?answer wdt:P180 wd:Q165 }
ext_rubq2_test_003012,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какая наука изучает рельефы суши, дна океанов и морей?","What science studies landforms, ocean bottoms, and seas?","reverse_relation, single_hop",1,True,геоморфология,SELECT ?answer WHERE { ?answer wdt:P2578 wd:Q186131 . }
ext_rubq2_test_003013,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой город был переименован в 1968 г. в г. Гагарин?,Which city was renamed Gagarin in 1968?,"qualifier_constraint, multi_constraint",1,True,Гжатск,SELECT ?answer WHERE { wd:Q134318 p:P1448 [ ps:P1448 ?answer; pq:P582 ?year ] . FILTER(YEAR(?year) = 1968) . }
ext_rubq2_test_003033,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Кто в 1949 году стал первым канцлером ФРГ?,Who became the first Chancellor of Germany in 1949?,"ranking, qualifier_constraint",1,True,Конрад Аденауэр,SELECT ?answer WHERE { wd:Q183 p:P6 [ ps:P6 ?answer; pq:P580 ?begin ] . } ORDER BY ASC(?begin) LIMIT 1
ext_rubq2_test_003038,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой химический элемент обозначается Pb?,Which chemical element is designated Pb?,"reverse_relation, multi_constraint",1,True,свинец,"SELECT ?answer WHERE { ?answer skos:altLabel ""Pb""@ru . ?answer wdt:P31 wd:Q11344 }"
ext_rubq2_test_003050,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какой город - конечный пункт маршрута фирменного поезда ""Россия"", отправляющегося из Москвы?","Which city is the final destination of the branded ""Russia"" train leaving Moscow?","negation_or_exclusion, single_hop",1,True,Владивосток,SELECT ?answer WHERE { wd:Q4398275 wdt:P559 ?answer . FILTER (?answer not in ( wd:Q649 )) }
ext_rubq2_test_003054,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой сплав состоит в основном из меди и цинка?,Which alloy consists mainly of copper and zinc?,"reverse_relation, single_hop",12,True,латунь | Северное золото | ZAMAK | нейзильбер | zinc-copper couple,"SELECT ?answer WHERE { ?answer wdt:P527 wd:Q753, wd:Q758 . }"
ext_rubq2_test_003061,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая кислота известна фармацевтам как витамин РР?,What acid is known to pharmacists as vitamin PP?,"reverse_relation, single_hop",1,True,никотиновая кислота,"SELECT ?answer WHERE { ?answer skos:altLabel ""Витамин PP""@ru . }"
ext_rubq2_test_003063,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой город Калининградской области до 1947 года назывался Хайлигенбайль?,Which city in the Kaliningrad region was called Heiligenbail before 1947?,"reverse_relation, single_hop",1,True,Мамоново,"SELECT ?answer WHERE { ?answer skos:altLabel ""Хайлигенбайль""@ru }"
ext_rubq2_test_003069,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Как называется прибор для измерения электрического напряжения?,What is the name of the device for measuring electrical voltage?,"reverse_relation, multi_constraint",2,True,вольтметр | Интеллектуальный счётчик,SELECT ?answer WHERE { ?answer wdt:P2575 wd:Q25428 . ?answer wdt:P279 wd:Q2041172 }
ext_rubq2_test_003080,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой Генеральный секретарь ООН погиб в авиакатастрофе?,Which UN Secretary-General was killed in a plane crash?,"reverse_relation, multi_constraint",1,True,Даг Хаммаршёльд,SELECT ?answer WHERE { ?answer wdt:P39 wd:Q81066 . ?answer wdt:P509 [ wdt:P31 wd:Q3002150 ] }
ext_rubq2_test_003086,RuBQ_2.0,test,direct_ru_candidate,direct_ru,как звали младшего сына сталина?,what was the name of Stalin's younger son?,"ranking, multi_constraint",1,True,Василий Иосифович Сталин,SELECT ?answer WHERE { wd:Q855 wdt:P40 ?answer . ?answer wdt:P21 wd:Q6581097 . ?answer wdt:P569 ?birth_date } ORDER BY DESC(?birth_date) LIMIT 1
ext_rubq2_test_003091,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кто был сорежиссером Эльдара Рязанова на съемках фильма ""Невероятные приключения итальянцев в России""?","Who was the co-Director of Eldar Ryazanov on the set of the film ""the Incredible adventures of Italians in Russia""?","negation_or_exclusion, single_hop",1,True,"Проспери, Франко",SELECT ?answer WHERE { wd:Q940081 wdt:P57 ?answer . FILTER (?answer not in ( wd:Q381944 )) }
ext_rubq2_test_003094,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Сколько существует законов Ньютона?,How many laws of Newton exist?,"count, single_hop",1,True,3,SELECT (COUNT(?laws) as ?answer) WHERE { wd:Q38433 wdt:P527 ?laws }
ext_rubq2_test_003096,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какое растение иначе называют кинзой?,What plant is otherwise called coriander?,"reverse_relation, single_hop",1,True,кориандр,"SELECT ?answer WHERE { ?answer skos:altLabel ""кинза""@ru . }"
ext_rubq2_test_003113,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какая станция Московского метрополитена до 1986 года носила название ""Лермонтовская""?","What is the station of the Moscow metro until 1986 was called the ""Lermontov""?","reverse_relation, multi_constraint",1,True,Красные ворота,"SELECT ?answer WHERE { ?answer wdt:P31 wd:Q928830 . ?answer skos:altLabel ""Лермонтовская""@ru }"
ext_rubq2_test_003117,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой город стоит на реке Печора?,What city stands on the Pechora river?,"reverse_relation, single_hop",1,True,Нарьян-Мар,SELECT ?answer WHERE { ?answer wdt:P206 wd:Q8168 . }
ext_rubq2_test_003118,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"За какой фильм Одри Хепберн была удостоена премии ""Оскар"" в номинации ""лучшая актриса""?",For which film was Audrey Hepburn awarded the Academy award for best actress?,"qualifier_answer, multi_constraint",1,True,Римские каникулы,SELECT ?answer WHERE { wd:Q42786 p:P166 [ps:P166 wd:Q103618; pq:P1686 ?answer] . }
ext_rubq2_test_003120,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Кто был сороковым президентом США?,Who was the fortieth President of the United States?,"reverse_relation, qualifier_constraint",1,True,Рональд Рейган,"SELECT ?answer WHERE { ?answer p:P39 [ps:P39 wd:Q11696; pq:P1545 ""40""] . }"
ext_rubq2_test_003123,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Чье настоящее имя было Теофраст Бомбаст фон Гогенгейм?,Whose real name was Theophrastus Bombast von Hohenheim?,"reverse_relation, single_hop",1,True,Парацельс,"SELECT ?answer WHERE { ?answer skos:altLabel ""Теофраст Бомбаст фон Гогенгейм""@ru }"
ext_rubq2_test_003132,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какого супергероя сыграл Тоби Магуайер?,Which superhero did Tobey Maguire play?,"reverse_relation, multi_constraint",1,True,Человек-Паук,SELECT ?answer WHERE { ?answer wdt:P31 wd:Q188784 . ?answer p:P175/ps:P175 wd:Q165524 }
ext_rubq2_test_003133,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Кто был первым ведущим передачи ""Что? Где? Когда?""?","Who was the first host of What? Where? When?""?","ranking, qualifier_constraint",1,True,Александр Васильевич Масляков,SELECT ?answer WHERE { wd:Q497935 p:P371[ps:P371 ?answer ; pq:P580 ?begin]. } ORDER BY ?begin LIMIT 1
ext_rubq2_test_003138,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"С какой галактикой, по прогнозам учёных, приблизительно через четыре миллиарда лет произойдёт столкновение Млечного Пути?",Which galaxy is predicted to collide with the milky Way in about four billion years?,"negation_or_exclusion, single_hop",1,True,Галактика Андромеды,SELECT ?answer WHERE { wd:Q335988 wdt:P527 ?answer . FILTER (?answer not in ( wd:Q321 )) }
ext_rubq2_test_003141,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Кто из борцов за независимость Индии стал первым президентом этой страны?,Who among the fighters for Indian independence became the first President of this country?,"reverse_relation, qualifier_constraint",1,True,Раджендра Прасад,"SELECT ?answer WHERE { ?answer p:P39 [ps:P39 wd:Q313383; pq:P1545 ""1""] . }"
ext_rubq2_test_003143,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Что учредил в Санкт-Петербурге один из основателей Московского университета — русский меценат Иван Шувалов?,What was founded in St. Petersburg by one of the founders of Moscow University — Russian philanthropist Ivan Shuvalov?,"reverse_relation, multi_constraint",1,True,Императорская Академия художеств,SELECT ?answer WHERE { ?answer wdt:P112 wd:Q659395 . ?answer wdt:P159 wd:Q656 }
ext_rubq2_test_003144,RuBQ_2.0,test,direct_ru_candidate,direct_ru,"Какой рассказ Клиффорда Саймака получил три главные американские литературные премии в области фантастики — ""Хьюго"", ""Небьюла"" и ""Локус""?","Which story by Clifford Simak won the three major American literary awards in fiction — ""Hugo"", ""nebula"" and ""Locus""?","multi_constraint, qualifier_answer",1,True,Грот танцующих оленей,SELECT ?answer WHERE { wd:Q294625 p:P166 [ ps:P166 wd:Q610903; pq:P1686 ?answer ] . wd:Q294625 p:P166 [ ps:P166 wd:Q1056251; pq:P1686 ?answer ] . wd:Q294625 p:P166 [ ps:P166 wd:Q17008985; pq:P1686 ?answer ] . }
ext_rubq2_test_003147,RuBQ_2.0,test,direct_ru_candidate,direct_ru,В каком концлагере трагически оборвалась жизнь старшего сына Иосифа Сталина?,In which concentration camp did the life of Joseph Stalin's eldest son tragically end?,"ranking, multi_constraint",1,True,Заксенхаузен,SELECT ?answer WHERE { wd:Q855 wdt:P40 ?son . ?son wdt:P21 wd:Q6581097 . ?son wdt:P569 ?birth_date . ?son wdt:P20 ?answer } ORDER BY ASC(?birth_date) LIMIT 1
ext_rubq2_test_003151,RuBQ_2.0,test,direct_ru_candidate,direct_ru,В каком году Александр Блок женился?,In what year did Alexander Blok get married?,"qualifier_answer, multi_constraint",1,True,1903,SELECT ?answer WHERE { wd:Q164765 p:P26 [ pq:P580 ?date ] . BIND(YEAR(?date) as ?answer) }
ext_rubq2_test_004004,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Сколько детей у королевы Елизаветы II (английской)?,How many children does Queen Elizabeth II (of England) have?,"count, single_hop",1,True,4,SELECT (COUNT(?child) as ?answer) WHERE { wd:Q9682 wdt:P40 ?child. }
