id,domain,complexity,template_id,old_constraints,new_constraints,warnings,query_text_ru
cinema_l1_0024,cinema,L1,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2001, ""year_to"": 2001}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2001, ""year_to"": 2001}",,"Назови 5 фильмов, жанра «боевик», 2001 года."
cinema_l1_0026,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2011, ""year_to"": 2014}","{""country_ru"": ""Канада"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""year_from"": 2011, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «приключенческий фильм», из страны: Канада, в период 2011–2014 годов."
cinema_l1_0028,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2014, ""year_to"": 2014}","{""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2014, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «документальный фильм», 2014 года."
cinema_l1_0030,cinema,L1,,"{""country_ru"": ""США"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2018, ""year_to"": 2025}","{""country_ru"": ""США"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2018, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: США, в период 2018–2025 годов."
cinema_l1_0032,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2001, ""year_to"": 2003}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2001, ""year_to"": 2003}",,"Назови 5 фильмов, жанра «боевик», в период 2001–2003 годов."
cinema_l1_0034,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2009, ""year_to"": 2013}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2009, ""year_to"": 2013}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2009–2013 годов."
cinema_l1_0036,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2010, ""year_to"": 2010}","{""country_ru"": ""Канада"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2010, ""year_to"": 2010}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: Канада, 2010 года."
cinema_l1_0038,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2025, ""year_to"": 2025}","{""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2025, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «документальный фильм», 2025 года."
cinema_l1_0040,cinema,L1,,"{""country_ru"": ""Россия"", ""genre_ru"": ""триллер"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2008, ""year_to"": 2015}","{""genre_ru"": ""триллер"", ""kind"": ""film"", ""year_from"": 2008, ""year_to"": 2015}",,"Назови 5 фильмов, жанра «триллер», в период 2008–2015 годов."
cinema_l1_0042,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2016}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2016, ""year_to"": 2016}",,"Назови 5 фильмов, жанра «боевик», 2016 года."
cinema_l1_0044,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2003, ""year_to"": 2005}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2003, ""year_to"": 2005}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2003–2005 годов."
cinema_l1_0046,cinema,L1,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2017}","{""country_ru"": ""Великобритания"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2017, ""year_to"": 2017}",,"Назови 5 фильмов, жанра «боевик», из страны: Великобритания, 2017 года."
cinema_l1_0048,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""комедия"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2018, ""year_to"": 2023}","{""genre_ru"": ""комедия"", ""kind"": ""film"", ""year_from"": 2018, ""year_to"": 2023}",,"Назови 5 фильмов, жанра «комедия», в период 2018–2023 годов."
cinema_l1_0052,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2018, ""year_to"": 2025}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2018, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2018–2025 годов."
cinema_l1_0054,cinema,L1,,"{""country_ru"": ""Россия"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2008, ""year_to"": 2008}","{""country_ru"": ""Россия"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""year_from"": 2008, ""year_to"": 2008}",,"Назови 5 фильмов, жанра «приключенческий фильм», из страны: Россия, 2008 года."
cinema_l1_0056,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2020, ""year_to"": 2020}","{""country_ru"": ""Франция"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2020, ""year_to"": 2020}",,"Назови 5 фильмов, жанра «документальный фильм», из страны: Франция, 2020 года."
cinema_l1_0058,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2004, ""year_to"": 2009}","{""country_ru"": ""Франция"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2004, ""year_to"": 2009}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: Франция, в период 2004–2009 годов."
cinema_l1_0060,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2016}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""year_from"": 2016, ""year_to"": 2016}",,"Назови 5 фильмов, жанра «ужасы», 2016 года."
cinema_l1_0062,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2020, ""year_to"": 2024}","{""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2020, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «документальный фильм», в период 2020–2024 годов."
cinema_l1_0064,cinema,L1,,"{""country_ru"": ""Германия"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2015, ""year_to"": 2015}","{""country_ru"": ""Германия"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2015, ""year_to"": 2015}",,"Назови 5 фильмов, жанра «документальный фильм», из страны: Германия, 2015 года."
cinema_l1_0066,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""триллер"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2024}","{""genre_ru"": ""триллер"", ""kind"": ""film"", ""year_from"": 2017, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «триллер», в период 2017–2024 годов."
cinema_l1_0068,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2009, ""year_to"": 2016}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2009, ""year_to"": 2016}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2009–2016 годов."
cinema_l1_0070,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""триллер"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2009, ""year_to"": 2012}","{""genre_ru"": ""триллер"", ""kind"": ""film"", ""year_from"": 2009, ""year_to"": 2012}",,"Назови 5 фильмов, жанра «триллер», в период 2009–2012 годов."
cinema_l1_0072,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2025, ""year_to"": 2025}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2025, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «боевик», 2025 года."
cinema_l1_0074,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2010, ""year_to"": 2014}","{""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""year_from"": 2010, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «приключенческий фильм», в период 2010–2014 годов."
cinema_l1_0076,cinema,L1,,"{""country_ru"": ""США"", ""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2017}","{""genre_ru"": ""документальный фильм"", ""kind"": ""film"", ""year_from"": 2017, ""year_to"": 2017}",,"Назови 5 фильмов, жанра «документальный фильм», 2017 года."
cinema_l1_0078,cinema,L1,,"{""country_ru"": ""Германия"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2021}","{""country_ru"": ""Германия"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2019, ""year_to"": 2021}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: Германия, в период 2019–2021 годов."
cinema_l2_0040,cinema,L2,,"{""country_ru"": ""Россия"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2021, ""year_to"": 2024}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_kinopoisk_min"": 6.8, ""year_from"": 2021, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «боевик», в период 2021–2024 годов, с рейтингом по Кинопоиск не ниже 6.8."
cinema_l2_0042,cinema,L2,,"{""country_ru"": ""США"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2022, ""year_to"": 2025}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2022, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «боевик», в период 2022–2025 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0044,cinema,L2,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.3999999999999995], ""source_dataset"": ""wikidata"", ""year_from"": 2015, ""year_to"": 2021}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.4, ""year_from"": 2015, ""year_to"": 2021}",,"Назови 5 фильмов, жанра «ужасы», в период 2015–2021 годов, с рейтингом по IMDb не ниже 6.4."
cinema_l2_0046,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2025}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2019, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «ужасы», в период 2019–2025 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0048,cinema,L2,,"{""country_ru"": ""Германия"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2023}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2017, ""year_to"": 2023}",,"Назови 5 фильмов, жанра «боевик», в период 2017–2023 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0050,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2022}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2017, ""year_to"": 2022}",,"Назови 5 фильмов, жанра «ужасы», в период 2017–2022 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0052,cinema,L2,,"{""country_ru"": ""Россия"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2022, ""year_to"": 2022}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2022, ""year_to"": 2022}",,"Назови 5 фильмов, жанра «ужасы», 2022 года, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0054,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2023, ""year_to"": 2025}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2023, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «боевик», в период 2023–2025 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0056,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.3999999999999995], ""source_dataset"": ""wikidata"", ""year_from"": 2021, ""year_to"": 2023}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.4, ""year_from"": 2021, ""year_to"": 2023}",,"Назови 5 фильмов, жанра «боевик», в период 2021–2023 годов, с рейтингом по IMDb не ниже 6.4."
cinema_l2_0058,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2022}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.0, ""year_from"": 2016, ""year_to"": 2022}",,"Назови 5 фильмов, жанра «боевик», в период 2016–2022 годов, с рейтингом по IMDb не ниже 6."
cinema_l2_0060,cinema,L2,,"{""country_ru"": ""Германия"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2023}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2016, ""year_to"": 2023}",,"Назови 5 фильмов, жанра «ужасы», в период 2016–2023 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0062,cinema,L2,,"{""country_ru"": ""Россия"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2024}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_imdb_min"": 6.5, ""year_from"": 2019, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «ужасы», в период 2019–2024 годов, с рейтингом по IMDb не ниже 6.5."
cinema_l2_0064,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", 6.8], ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2025}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.8, ""year_from"": 2019, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «боевик», в период 2019–2025 годов, с рейтингом по IMDb не ниже 6.8."
cinema_l2_0066,cinema,L2,,"{""country_ru"": ""США"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", ""<="", 5.9], ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2025}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_kinopoisk_max"": 5.9, ""rating_kinopoisk_min"": 5.9, ""year_from"": 2019, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «боевик», в период 2019–2025 годов, с рейтингом по Кинопоиск не выше 5.9."
cinema_l2_0068,cinema,L2,,"{""country_ru"": ""Япония"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", "">="", 5.0], ""source_dataset"": ""wikidata"", ""year_from"": 2012, ""year_to"": 2019}","{""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""rating_imdb_min"": 5.0, ""year_from"": 2012, ""year_to"": 2019}",,"Назови 5 фильмов, жанра «приключенческий фильм», в период 2012–2019 годов, с рейтингом по IMDb не ниже 5."
cinema_l2_0070,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", "">="", 6.5], ""source_dataset"": ""wikidata"", ""year_from"": 2020, ""year_to"": 2022}","{""genre_ru"": ""ужасы"", ""kind"": ""film"", ""rating_kinopoisk_min"": 6.5, ""year_from"": 2020, ""year_to"": 2022}",,"Назови 5 фильмов, жанра «ужасы», в период 2020–2022 годов, с рейтингом по Кинопоиск не ниже 6.5."
cinema_l2_0072,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", "">="", 5.0], ""source_dataset"": ""wikidata"", ""year_from"": 2012, ""year_to"": 2014}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""rating_kinopoisk_min"": 5.0, ""year_from"": 2012, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2012–2014 годов, с рейтингом по Кинопоиск не ниже 5."
cinema_l2_0074,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", "">="", 6.0], ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2022}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""rating_kinopoisk_min"": 6.0, ""year_from"": 2016, ""year_to"": 2022}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2016–2022 годов, с рейтингом по Кинопоиск не ниже 6."
cinema_l2_0076,cinema,L2,,"{""country_ru"": null, ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""kinopoisk"", "">="", 4.0], ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2021}","{""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""rating_kinopoisk_min"": 4.0, ""year_from"": 2017, ""year_to"": 2021}",,"Назови 5 фильмов, жанра «приключенческий фильм», в период 2017–2021 годов, с рейтингом по Кинопоиск не ниже 4."
cinema_l2_0078,cinema,L2,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", "">="", 6.0], ""source_dataset"": ""wikidata"", ""year_from"": 2021, ""year_to"": 2024}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 6.0, ""year_from"": 2021, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «боевик», в период 2021–2024 годов, с рейтингом по IMDb не ниже 6."
cinema_l2_0080,cinema,L2,,"{""country_ru"": ""Германия"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": [""imdb"", "">="", 4.0], ""source_dataset"": ""wikidata"", ""year_from"": 2021, ""year_to"": 2023}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""rating_imdb_min"": 4.0, ""year_from"": 2021, ""year_to"": 2023}",,"Назови 5 фильмов, жанра «боевик», в период 2021–2023 годов, с рейтингом по IMDb не ниже 4."
