benchmark_id,source_dataset,source_split,question_en_original,question_ru,reasoning_family,question_type,answer_mode,gold_answers,gold_qids,num_answers,supporting_facts,num_supporting_facts,context_docs,num_context_docs,evidences,num_evidences,bridge_depth_estimate,shallow_bridge_flag,strength_bucket,raw_answer,raw_type,translation_ready_text,needs_translation,needs_rephrase,reconstructability_score
2wiki_a79908ac08b511ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died earlier, Bodyhold or In the Name of the Pope King?",,bridge_comparison,bridge_comparison,single,['Bodyhold'],[],1,[],0,[],0,[],0,4,False,medium,Bodyhold,bridge_comparison,"Which film has the director who died earlier, Bodyhold or In the Name of the Pope King?",True,True,6
2wiki_f3934f1c089f11ebbd78ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born later, Deep Freeze (Film) or In The Wake Of The Flood?",,bridge_comparison,bridge_comparison,single,['In The Wake Of The Flood'],[],1,[],0,[],0,[],0,4,False,medium,In The Wake Of The Flood,bridge_comparison,"Which film has the director who was born later, Deep Freeze (Film) or In The Wake Of The Flood?",True,True,6
2wiki_448f0f02085311ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, Land Of The Dead or Forest Of The Hanged?",,bridge_comparison,bridge_comparison,single,['Forest Of The Hanged'],[],1,[],0,[],0,[],0,4,False,medium,Forest Of The Hanged,bridge_comparison,"Which film has the director who died first, Land Of The Dead or Forest Of The Hanged?",True,True,6
2wiki_18efb38c08b811ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, The Game That Kills or Who'S That Girl (1987 Film)?",,bridge_comparison,bridge_comparison,single,['The Game That Kills'],[],1,[],0,[],0,[],0,4,False,medium,The Game That Kills,bridge_comparison,"Which film has the director who is older than the other, The Game That Kills or Who'S That Girl (1987 Film)?",True,True,6
2wiki_4a76892a08c311ebbd8dac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born first, Pirates Of The Caribbean: The Curse Of The Black Pearl or Un Pecado Por Mes?",,bridge_comparison,bridge_comparison,single,['Un Pecado Por Mes'],[],1,[],0,[],0,[],0,4,False,medium,Un Pecado Por Mes,bridge_comparison,"Which film has the director who was born first, Pirates Of The Caribbean: The Curse Of The Black Pearl or Un Pecado Por Mes?",True,True,6
2wiki_bf474d3c08b111ebbd85ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, In The Wake Of The Bounty or The Wolf Of Wall Street (2013 Film)?",,bridge_comparison,bridge_comparison,single,['In The Wake Of The Bounty'],[],1,[],0,[],0,[],0,4,False,medium,In The Wake Of The Bounty,bridge_comparison,"Which film has the director who is older, In The Wake Of The Bounty or The Wolf Of Wall Street (2013 Film)?",True,True,6
2wiki_f7c4fdf2087611ebbd67ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",,bridge_comparison,bridge_comparison,single,['A Quiet Place In The Country'],[],1,[],0,[],0,[],0,4,False,medium,A Quiet Place In The Country,bridge_comparison,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",True,True,6
2wiki_bb10240a088e11ebbd70ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director who was born later, Wild Boys Of The Road or That Royle Girl?",,bridge_comparison,bridge_comparison,single,['Wild Boys Of The Road'],[],1,[],0,[],0,[],0,4,False,medium,Wild Boys Of The Road,bridge_comparison,"Which film has the director who was born later, Wild Boys Of The Road or That Royle Girl?",True,True,6
2wiki_fee1eb96087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film whose producer was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",,bridge_comparison,bridge_comparison,single,['Conquest Of The Planet Of The Apes'],[],1,[],0,[],0,[],0,4,False,medium,Conquest Of The Planet Of The Apes,bridge_comparison,"Which film whose producer was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",True,True,6
2wiki_8e634869088111ebbd6dac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director who died earlier, Man In The Dark or Heroes Of The Saddle?",,bridge_comparison,bridge_comparison,single,['Man In The Dark'],[],1,[],0,[],0,[],0,4,False,medium,Man In The Dark,bridge_comparison,"Which film has the director who died earlier, Man In The Dark or Heroes Of The Saddle?",True,True,6
2wiki_d8e5f5d6087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",,comparison,comparison,single,['In The Land Of The Head Hunters'],[],1,[],0,[],0,[],0,4,False,medium,In The Land Of The Head Hunters,comparison,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",True,True,6
2wiki_3007ec78085011ebbd56ac1f6bf848b6,2wikimultihopqa,dev,"Which film whose director was born first, Crimes Of The Future or The Sex Of The Stars?",,bridge_comparison,bridge_comparison,single,['Crimes Of The Future'],[],1,[],0,[],0,[],0,4,False,medium,Crimes Of The Future,bridge_comparison,"Which film whose director was born first, Crimes Of The Future or The Sex Of The Stars?",True,True,6
2wiki_3a0f751c086211ebbd5dac1f6bf848b6,2wikimultihopqa,dev,"Which film whose director was born first, In The Midst Of My Days or Outcasts Of The Trail?",,bridge_comparison,bridge_comparison,single,['Outcasts Of The Trail'],[],1,[],0,[],0,[],0,4,False,medium,Outcasts Of The Trail,bridge_comparison,"Which film whose director was born first, In The Midst Of My Days or Outcasts Of The Trail?",True,True,6
2wiki_6abaf116089c11ebbd78ac1f6bf848b6,2wikimultihopqa,dev,"Which film whose director was born first, Shadow Of The Earth or Wolves Of The Range?",,bridge_comparison,bridge_comparison,single,['Wolves Of The Range'],[],1,[],0,[],0,[],0,4,False,medium,Wolves Of The Range,bridge_comparison,"Which film whose director was born first, Shadow Of The Earth or Wolves Of The Range?",True,True,6
2wiki_b9db30a8087911ebbd67ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director who died first, Torment Of The Past or Shadow Of The Hawk?",,bridge_comparison,bridge_comparison,single,['Torment Of The Past'],[],1,[],0,[],0,[],0,4,False,medium,Torment Of The Past,bridge_comparison,"Which film has the director who died first, Torment Of The Past or Shadow Of The Hawk?",True,True,6
2wiki_7d636b62087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",,bridge_comparison,bridge_comparison,single,['In The Belly Of The Dragon'],[],1,[],0,[],0,[],0,4,False,medium,In The Belly Of The Dragon,bridge_comparison,"Which film has the director born later, In The Belly Of The Dragon or Where Trails End?",True,True,6
2wiki_b64c031d087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film whose director was born first, Memories Of The Desert or Outlaws Of The Rio Grande?",,bridge_comparison,bridge_comparison,single,['Outlaws Of The Rio Grande'],[],1,[],0,[],0,[],0,4,False,medium,Outlaws Of The Rio Grande,bridge_comparison,"Which film whose director was born first, Memories Of The Desert or Outlaws Of The Rio Grande?",True,True,6
2wiki_a56c1bd7087a11ebbd67ac1f6bf848b6,2wikimultihopqa,dev,"Which film has the director who is older than the other, Sign Of The Pagan or Spawn Of The North?",,bridge_comparison,bridge_comparison,single,['Sign Of The Pagan'],[],1,[],0,[],0,[],0,4,False,medium,Sign Of The Pagan,bridge_comparison,"Which film has the director who is older than the other, Sign Of The Pagan or Spawn Of The North?",True,True,6
2wiki_f6b4cdb7087611ebbd67ac1f6bf848b6,2wikimultihopqa,test,"Which film has the director who died later, A Quiet Place In The Country or When Were You Born?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director who died later, A Quiet Place In The Country or When Were You Born?",True,True,6
2wiki_3073904a085011ebbd56ac1f6bf848b6,2wikimultihopqa,test,"Which film has the director who died first, When Asia Speaks or Call Of The Canyon?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director who died first, When Asia Speaks or Call Of The Canyon?",True,True,6
2wiki_0443533c087a11ebbd67ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film whose director is younger, Dance, Girl, Dance or In The Name Of The Kaisers?",True,True,6
2wiki_6bfcc2a2089c11ebbd78ac1f6bf848b6,2wikimultihopqa,test,"Which film has the director who died earlier, Shadow Of The Earth or Wolves Of The Range?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director who died earlier, Shadow Of The Earth or Wolves Of The Range?",True,True,6
2wiki_0f7b7fac088611ebbd6dac1f6bf848b6,2wikimultihopqa,test,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director born first, In The Belly Of The Dragon or Return Of The Bad Men?",True,True,6
2wiki_cadd4be208c011ebbd8aac1f6bf848b6,2wikimultihopqa,test,"Which film has the director who died later, Honor Of The West or The Fall Of The Louse Of Usher?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film has the director who died later, Honor Of The West or The Fall Of The Louse Of Usher?",True,True,6
2wiki_fba75768087011ebbd63ac1f6bf848b6,2wikimultihopqa,test,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",,bridge_comparison,bridge_comparison,single,[],[],0,[],0,[],0,[],0,4,False,medium,,bridge_comparison,"Which film whose director was born first, Conquest Of The Planet Of The Apes or I'M Not Harry Jenson?",True,True,6
2wiki_622058de08a111ebbd79ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director was born first, Sorority House Massacre Ii or Faces In The Fog?",,bridge_comparison,bridge_comparison,single,['Faces In The Fog'],[],1,[],0,[],0,[],0,3,False,medium,Faces In The Fog,bridge_comparison,"Which film whose director was born first, Sorority House Massacre Ii or Faces In The Fog?",True,True,5
2wiki_e4713d76089211ebbd74ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Honor Of The West or A Esposa Do Solteiro?",,bridge_comparison,bridge_comparison,single,['A Esposa Do Solteiro'],[],1,[],0,[],0,[],0,3,False,medium,A Esposa Do Solteiro,bridge_comparison,"Which film has the director who was born earlier, Honor Of The West or A Esposa Do Solteiro?",True,True,5
2wiki_4f59a89708be11ebbd8aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, Joe Palooka In The Counterpunch or Hollywood Story?",,bridge_comparison,bridge_comparison,single,['Hollywood Story'],[],1,[],0,[],0,[],0,3,False,medium,Hollywood Story,bridge_comparison,"Which film has the director who died first, Joe Palooka In The Counterpunch or Hollywood Story?",True,True,5
2wiki_ecc4c75208c611ebbd91ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, Hold Back The Night or The Last Night Of The Barbary Coast?",,bridge_comparison,bridge_comparison,single,['Hold Back The Night'],[],1,[],0,[],0,[],0,3,False,medium,Hold Back The Night,bridge_comparison,"Which film has the director who is older, Hold Back The Night or The Last Night Of The Barbary Coast?",True,True,5
2wiki_36e055f608a711ebbd7fac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, The Bedford Incident or The Kiss Of The Vampire?",,bridge_comparison,bridge_comparison,single,['The Kiss Of The Vampire'],[],1,[],0,[],0,[],0,3,False,medium,The Kiss Of The Vampire,bridge_comparison,"Which film has the director who is older, The Bedford Incident or The Kiss Of The Vampire?",True,True,5
2wiki_be1d973e08a411ebbd7dac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, The Man Who Won or Nýtt Líf?",,bridge_comparison,bridge_comparison,single,['The Man Who Won'],[],1,[],0,[],0,[],0,3,False,medium,The Man Who Won,bridge_comparison,"Which film has the director who was born earlier, The Man Who Won or Nýtt Líf?",True,True,5
2wiki_3d22cfc0086611ebbd5eac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, The Revenge Of Roger or Challenge Of The Gladiator?",,bridge_comparison,bridge_comparison,single,['The Revenge Of Roger'],[],1,[],0,[],0,[],0,3,False,medium,The Revenge Of Roger,bridge_comparison,"Which film has the director who died first, The Revenge Of Roger or Challenge Of The Gladiator?",True,True,5
2wiki_406cfb4408aa11ebbd80ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Eternal Summer (2006 Film) or Eye In The Labyrinth?",,bridge_comparison,bridge_comparison,single,['Eye In The Labyrinth'],[],1,[],0,[],0,[],0,3,False,medium,Eye In The Labyrinth,bridge_comparison,"Which film has the director who was born earlier, Eternal Summer (2006 Film) or Eye In The Labyrinth?",True,True,5
2wiki_3b95496108ae11ebbd83ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, The Ramblin' Kid or West Point Of The Air?",,bridge_comparison,bridge_comparison,single,"[""The Ramblin' Kid""]",[],1,[],0,[],0,[],0,3,False,medium,The Ramblin' Kid,bridge_comparison,"Which film has the director who died first, The Ramblin' Kid or West Point Of The Air?",True,True,5
2wiki_ed2ee6dc089411ebbd75ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director was born first, The Way Of The West or Ouaga-Saga?",,bridge_comparison,bridge_comparison,single,['The Way Of The West'],[],1,[],0,[],0,[],0,3,False,medium,The Way Of The West,bridge_comparison,"Which film whose director was born first, The Way Of The West or Ouaga-Saga?",True,True,5
