benchmark_id,primary_reasoning_family,program_length,hop_count_estimate,question_en_original,question_ru_manual,translation_comment,answer_text,target_domain_ru,manual_bucket,russian_reconstruction_idea,notes
kqapro_train_080908,qualifier,7,1,"What animated feature film includes a voice actor, playing Rapunzel, whose Deutsche Synchronkartei actor-ID is 5701 ?","В каком полнометражном анимационном фильме есть актриса озвучивания, сыгравшая Рапунцель, чей actor-ID в Deutsche Synchronkartei равен 5701?",,Shrek the Third,,,,
kqapro_train_028104,qualifier,7,1,What visual artwork received an award whose winner is Barrie M. Osborne at the the Academy Awards having a beginning date in the year 1929?,"Какое визуальное произведение получило награду, лауреатом которой был Барри М. Осборн, на премии «Оскар», учреждённой в 1929 году?",,The Lord of the Rings: The Return of the King,,,,
kqapro_train_086137,qualifier,7,1,Which person was nominated for the award whose start time is before 1960 (the award-winning work of this statement is Death of a Salesman),"Кто был номинирован на премию, учреждённую до 1960 года, за работу «Смерть коммивояжёра»?",,Kevin McCarthy,,,,
kqapro_train_085318,qualifier,7,1,What work is part of the film series which was published in 2008 (the series ordinal of this statement is 1)?,"Какое произведение является первой частью киносерии и было выпущено в 2008 году?",,Taken,,,,
kqapro_train_019814,qualifier,7,1,Who was the first overall draft pick of the National Basketabll Association Draft before 2004?,"Кто был выбран под первым общим номером на драфте Национальной баскетбольной ассоциации до 2004 года?",,LeBron James,,,,
kqapro_train_009875,qualifier,7,1,What Roman deity is the origin of the calendar-month name whose series ordinal is 3?,"Какое римское божество дало название месяцу календаря, который имеет порядковый номер 3?",,Mars,,,,
kqapro_train_020501,qualifier,7,1,What person is the partner of the individual whose Deutsche Synchronkartei actor-ID is 3108 until the ending year 1993?,"Кто был партнёром человека с actor-ID 3108 в Deutsche Synchronkartei до 1993 года?",,Harvey Keitel,,,,
kqapro_train_092757,qualifier,7,1,What person is the narrator of the visual artwork whose exploitation visa number is 95267 (the start date of this statement is in 1998)?,"Кто был рассказчиком визуального произведения, получившего прокатное удостоверение № 95267 в 1998 году?",,Johnny Depp,,,,
kqapro_train_017656,qualifier,7,1,Which land-grant university is located in a United-States state whose short name is SC (the start time of this statement is 1963)?,"Какой университет со статусом land-grant расположен в штате США, краткое название которого с 1963 года — SC?",,Clemson University,,,,
kqapro_train_044690,qualifier,7,1,What person is the spouse of the individual whose Deutsche Synchronkartei actor-ID is 8136 (this statement's start date is 1983-01-01)?,"Кто является супругом человека с actor-ID 8136 в Deutsche Synchronkartei с 1 января 1983 года?",,Jim Carter,,,,
kqapro_train_053829,qualifier,7,1,"Which town is, since 1st January 1956, the twinned administrative body of a big city whose local dialing code is 06131 ?","Какой город с 1 января 1956 года является побратимом крупного города с телефонным кодом 06131?",,Watford,,,,
kqapro_train_064200,qualifier,7,1,What person was nominated for the literary award whose RIA Novosti reference is 54756131 on the date 1907-01-01?,"Кто был номинирован на литературную премию, у которой идентификатор РИА Новости — 54756131, по состоянию на 1 января 1907 года?",,Rudyard Kipling,,,,
kqapro_val_004047,qualifier,7,1,What person appears in the film whose exploitation visa number is 66874 (this statement's start date is 1990-03-16)?,"Кто снимался в фильме, получившем прокатное удостоверение № 66874 16 марта 1990 года?",,Cyrano de Bergerac,,,,
kqapro_train_087120,qualifier,7,1,"Who is the person born in a state of India, with the population of 68,548,437 people on 1st January 2011?","Кто родился в штате Индии, население которого на 1 января 2011 года составляло 68 548 437 человек?",,Om Shivpuri,,,,
kqapro_train_066912,temporal,6,1,"Which university is in the city with zip codes 9010, 9011, 9012, 9013, 9014, 9016, 9018, 9022, 9023, 9024, 9035, 9076, 9077, 9081, 9082, and 9092?","Какой университет находится в городе с почтовыми индексами 9010, 9011, 9012, 9013, 9014, 9016, 9018, 9022, 9023, 9024, 9035, 9076, 9077, 9081, 9082 и 9092?",,University of Otago,,,,
kqapro_train_046784,temporal,6,1,What film was narrated by the person whose audio recording voice was Geoffrey Rush bbc radio4 front row 01 05 2013.flac?,"Какой фильм озвучивал рассказчик, чей голос записан в файле Geoffrey Rush bbc radio4 front row 01 05 2013.flac?",,Oscar and Lucinda,,,,
kqapro_train_038298,temporal,6,1,Which college of the University of Oxford is the education place of the human whose date of death is on 1636-04-18?,"Какой колледж Оксфордского университета был местом обучения человека, умершего 18 апреля 1636 года?",,Magdalen College,,,,
kqapro_train_000448,temporal,6,1,What legislative term does the United States Congress follow whose start time is on 2009-01-03?,"Какой созыв Конгресса США начался 3 января 2009 года?",,110th United States Congress,,,,
kqapro_train_074231,temporal,6,1,What star is the parent astronomical body of the inner planet whose discovery/invention date is before -1534?,"Какая звезда является родительским астрономическим телом внутренней планеты, открытой до 1534 года до н. э.?",,Sun,,,,
kqapro_train_091936,temporal,6,1,What public company is the parent organization of the video game developer whose beginning date is in 1955?,"Какая публичная компания является материнской организацией разработчика видеоигр, основанного в 1955 году?",,Bandai Namco Holdings,,,,
kqapro_train_033032,temporal,6,1,What American city shares a border with a New Jersey city established before 1997?,"Какой американский город граничит с городом в штате Нью-Джерси, основанным до 1997 года?",,Pleasantville,,,,
kqapro_train_057967,temporal,6,1,Which individual's workplace is the historic English county under 8900 square kilometres in size?,"Чьё место работы находится в историческом английском графстве площадью менее 8900 квадратных километров?",,Stephen Dillane,,,,
kqapro_train_072839,temporal,5,1,What is the Hornbostel-Sachs classification for the class of instruments that is the instrument used by Chris Wood (the one whose date of birth is 1969-11-25)?,"Какая классификация по системе Хорнбостеля — Закса соответствует классу инструментов, к которому относится инструмент, на котором играет Крис Вуд, родившийся 25 ноября 1969 года?",,321.322-71,,,,
kqapro_train_078977,temporal,5,1,What is the IAB code of the science fiction sharing the same genre as Battlestar Galactica (the one whose date of first performance is 2004-10-18)?,"Какой IAB-код у научной фантастики — жанра, к которому относится «Звёздный крейсер „Галактика“», впервые показанный 18 октября 2004 года?",,652,,,,
kqapro_train_044344,temporal,5,1,What is the British Museum person-institution of the person who is the origin of the name Monroe County (the one whose area is 9679 square kilometre) ?,"Какой идентификатор person-institution в Британском музее у человека, в честь которого назван округ Монро площадью 9679 квадратных километров?",,93341,,,,
kqapro_train_020857,temporal,5,1,What is the establishment date of the United States city that is the capital of Middlesex County whose area is 1137 square kilometers?,"Когда был основан город США, который является административным центром округа Мидлсекс площадью 1137 квадратных километров?",,1651,,,,
kqapro_train_007953,temporal,5,1,What is the ISO 3166-2 code for the administrative territorial entity that is different from Falkirk (the one whose local dialing code is 01324)?,"Какой код ISO 3166-2 у административно-территориальной единицы, отличной от Фолкерка, телефонный код которого — 01324?",,GB-FAL,,,,
kqapro_train_048325,comparison_or_superlative,5,1,Which one has the largest elevation above sea level between the states of Germany that shares border with Saxony-Anhalt (the one whose nominal GDP per capita is 24000 euro)?,"Какой из федеральных земель Германии, граничащих с Саксонией-Анхальт, где номинальный ВВП на душу населения составляет 24 000 евро, имеет наибольшую высоту над уровнем моря?",,Saxony,,,,
kqapro_val_002809,comparison_or_superlative,5,1,Which Ireland county that is an administrative division of Ireland (whose nominal GDP is 21500472054.5495 United States dollars) has the largest area?,"Какое графство Ирландии, являющееся административной единицей страны с номинальным ВВП 21 500 472 054,5495 доллара США, имеет наибольшую площадь?",,County Cork,,,,
kqapro_train_087585,comparison_or_superlative,5,1,Which has the largest population among the former French regions that share a border with Lorraine (whose Dewey Decimal Classification is 2--4438)?,"Какой из бывших регионов Франции, граничащих с Лотарингией, у которой классификация Дьюи — 2--4438, имеет наибольшее население?",,Alsace,,,,
kqapro_train_039318,comparison_or_superlative,5,1,Which among the California counties is an administrative division of California (the one whose inception time is 1850-09-09) with the largest area?,"Какой из округов Калифорнии, являющихся административными единицами штата Калифорния, основанного 9 сентября 1850 года, имеет наибольшую площадь?",,Mariposa County,,,,
kqapro_train_040051,comparison_or_superlative,5,1,Which has the largest area among the Indiana counties that share a border with Marion County (which began in 1822)?,"Какой из округов Индианы, граничащих с округом Мэрион, основанным в 1822 году, имеет наибольшую площадь?",,Boone County,,,,
kqapro_train_071599,logical_set,9,1,Which movie was published in Germany after 1979 and that has 57759 as its exploitation visa number?,"Какой фильм был выпущен в Германии после 1979 года и имеет прокатное удостоверение № 57759?",,Superman III,,,,
kqapro_train_056260,logical_set,9,1,Which film was published after 2006 in Germany and has the exploitation visa number 118477?,"Какой фильм был выпущен в Германии после 2006 года и имеет прокатное удостоверение № 118477?",,Lebanon,,,,
kqapro_train_071641,logical_set,9,1,Which movie released in the USA on 1994-07-15 was released prior to 2007?,"Какой фильм, вышедший в США 15 июля 1994 года, был выпущен до 2007 года?",,True Lies,,,,
kqapro_train_029626,qualifier,7,1,What first-level administrative country subdivision contains the big city whose official name is Graz starting in the year 1918?,"В какой административной единице первого уровня находится крупный город, официальное название которого с 1918 года — Graz?",,Styria,,,,
kqapro_val_006524,qualifier,7,1,Which city is the capital of the province of China it's ISO 3166-2 code is CN-HB inception time of this statement is 2017-11-23?,"Какой город является столицей провинции Китая с кодом ISO 3166-2 CN-HB по состоянию на 23 ноября 2017 года?",,Wuhan,,,,
kqapro_train_019036,qualifier,7,1,Which public university is headquartered in the city assigned NUTS code UKE21 on 1999-01-01?,"Какой государственный университет расположен в городе, которому 1 января 1999 года был присвоен код NUTS UKE21?",,University of York,,,,
kqapro_train_078180,temporal,6,1,What United States city is the capital of one of the the county and has the Dewey Decimal Classification of 2--74461?,"Какой город США является административным центром одного из округов и имеет классификацию Дьюи 2--74461?",,Boston,,,,
kqapro_train_093398,temporal,6,1,Which higher education institution is the education place of the person whose Deutsche Synchronkartei actor-ID is 4417?,"Какое высшее учебное заведение было местом обучения человека с actor-ID 4417 в Deutsche Synchronkartei?",,DePaul University,,,,
kqapro_train_007964,temporal,6,1,What public company develops the aircraft-functional class with an item-produced quantity of 1527?,"Какая публичная компания разрабатывает класс воздушных судов, количество произведённых единиц которого составляет 1527?",,Airbus,,,,
kqapro_train_043913,temporal,5,1,"What is the National Heritage List for England number of the college of the University of Oxford where William Baldwin, who was born on January 1, 1563, was educated?","Какой номер в Национальном списке наследия Англии имеет колледж Оксфордского университета, где учился Уильям Болдуин, родившийся 1 января 1563 года?",,1199140,,,,
