benchmark_id,source_dataset,source_split,source_id,question_en_original,category,complexity_type,reasoning_family,answer_type,answer_mode,answer_text_en,num_answers,priority_score,needs_translation,needs_rephrase
mintaka_train_92b34ba1,mintaka,train,92b34ba1,Who were the children of India's only female prime minister?,politics,multihop,multihop,entity,list_like,Rajiv Gandhi and Sanjay Gandhi,2,10,True,True
mintaka_train_af82fcbd,mintaka,train,af82fcbd,Who was in charge of the screenplay on the movie that was based on the third book of Lord of the Rings?,books,multihop,multihop,entity,list_like,"Frank Walsh, Philippa Boyens, Peter Jackson",2,10,True,True
mintaka_train_b9354cf6,mintaka,train,b9354cf6,"Which city did the band that wrote ""Shiny Happy People"" come from?",music,multihop,multihop,entity,list_like,"Athens, GA",2,10,True,True
mintaka_train_c937b049,mintaka,train,c937b049,Where was the actress who played Hermione in the original Harry Potter movies born?,movies,multihop,multihop,entity,list_like,"Paris, France",2,10,True,True
mintaka_train_cb45cca5,mintaka,train,cb45cca5,Where was the author of The Illiad and The Odyssey born?,books,multihop,multihop,entity,list_like,"Ionia, which is now Turkey",2,10,True,True
mintaka_train_d8a4fd32,mintaka,train,d8a4fd32,"What were the two initial continents in the video game that Blizzard Entertainment released on November 23, 2004?",videogames,multihop,multihop,entity,list_like,"Kalimdor, Eastern Kingdoms",2,10,True,True
mintaka_train_dfcf2c64,mintaka,train,dfcf2c64,Where was the author of the novel Pet Sematary born?,books,multihop,multihop,entity,list_like,"Portland, Maine",2,10,True,True
mintaka_train_ea446ac8,mintaka,train,ea446ac8,Where was the captain of the U.S. women's national soccer team born?,sports,multihop,multihop,entity,list_like,"St. Louis, Missouri",2,10,True,True
mintaka_train_ec2f1490,mintaka,train,ec2f1490,What Disney characters were Sora's best friends and his quest companions?,videogames,multihop,multihop,entity,list_like,Donald Duck and Goofy,2,10,True,True
mintaka_train_f31def6d,mintaka,train,f31def6d,Where was the drummer from R.E.M. born?,music,multihop,multihop,entity,list_like,"Duluth, Minnesota",2,10,True,True
mintaka_train_f3d844ca,mintaka,train,f3d844ca,Where was the author of the Twilight saga born?,books,multihop,multihop,entity,list_like,"Hartford, Connecticut",2,10,True,True
mintaka_train_fb2caf1b,mintaka,train,fb2caf1b,Where did the winner of the 2017 Nobel Prize in Literature go to university?,books,multihop,multihop,entity,list_like,University of Kent at Canterbury and University of East Anglia,2,10,True,True
mintaka_train_fbc336c2,mintaka,train,fbc336c2,Where did the author of the Percy Jackson series go to college?,books,multihop,multihop,entity,list_like,The University of Texas at San Antonio and The University of Texas at Austin,2,10,True,True
mintaka_validation_043b734e,mintaka,validation,043b734e,Where was the director of Avatar born?,movies,multihop,multihop,entity,list_like,"Kapuskasing, Canada",2,10,True,True
mintaka_validation_28ce701d,mintaka,validation,28ce701d,"Which genre of music does the singer of ""Blank Space"" and ""Wildest Dreams"" sing?",music,multihop,multihop,entity,list_like,Pop and Country,2,10,True,True
mintaka_validation_2edc90bd,mintaka,validation,2edc90bd,The drummer for Nirvana was born in what city?,music,multihop,multihop,entity,list_like,"Warren, Ohio",2,10,True,True
mintaka_validation_304b59eb,mintaka,validation,304b59eb,Who was the top scorer of the Copa America tournament this year?,sports,multihop,multihop,entity,list_like,"Lionel Messi, Luis Diaz",2,10,True,True
mintaka_validation_678c0c86,mintaka,validation,678c0c86,Who was the wife of the 23rd president?,politics,multihop,multihop,entity,list_like,Mary Dimmick Harrison and Caroline Harrison,2,10,True,True
mintaka_validation_7987cd85,mintaka,validation,7987cd85,Where was the starting quarterback of the 2019 Seahawks born?,sports,multihop,multihop,entity,list_like,"Cincinnati, OH",2,10,True,True
mintaka_test_00823c3a,mintaka,test,00823c3a,Who was the wife of the 35th US president?,politics,multihop,multihop,entity,single,Jacqueline Kennedy,1,7,True,True
mintaka_test_04543bc3,mintaka,test,04543bc3,What university did the creator of Winnie the Pooh attend?,books,multihop,multihop,entity,single,Cambridge University,1,7,True,True
mintaka_test_045cb9dc,mintaka,test,045cb9dc,What is the capital of the largest state (by area) in the U.S.?,geography,multihop,multihop,entity,single,Juneau,1,7,True,True
mintaka_test_0465d9fb,mintaka,test,0465d9fb,Who was the wife of the 33rd US president?,politics,multihop,multihop,entity,single,Bess Truman,1,7,True,True
mintaka_test_05d00f71,mintaka,test,05d00f71,Who was Genghis Khan's eldest son?,history,multihop,multihop,entity,single,Orda,1,7,True,True
mintaka_test_05d64625,mintaka,test,05d64625,Who was the first wife of the director of Jaws?,movies,multihop,multihop,entity,single,Amy Irving,1,7,True,True
mintaka_test_069a65cf,mintaka,test,069a65cf,Where was the coach of the Los Angeles Lakers born?,sports,multihop,multihop,entity,single,New York,1,7,True,True
mintaka_test_080bf817,mintaka,test,080bf817,Who is the son of the 41st president of the United States who was also a president?,history,multihop,multihop,entity,single,George W. Bush,1,7,True,True
mintaka_test_0b061676,mintaka,test,0b061676,In what city was the author of the second book to win the Franz Kafka Prize born?,books,multihop,multihop,entity,single,Prague,1,7,True,True
mintaka_test_0c74b457,mintaka,test,0c74b457,Which party had the majority seats in the 2020 election?,politics,multihop,multihop,entity,single,Democrats,1,7,True,True
mintaka_test_0f78281a,mintaka,test,0f78281a,What was the name of the 42nd U.S. president's cat?,politics,multihop,multihop,entity,single,Socks,1,7,True,True
mintaka_test_100a940f,mintaka,test,100a940f,"Who was the first president after the war that ended slavery in the U.S., not including the incumbent?",politics,multihop,multihop,entity,single,Andrew Johnson,1,7,True,True
mintaka_test_113d342a,mintaka,test,113d342a,Who is the grass-type starter Pokémon of Pokémon Diamond?,videogames,multihop,multihop,entity,single,Turtwig,1,7,True,True
mintaka_test_11dd3a69,mintaka,test,11dd3a69,From which country was the men's Springboard Diving Gold medal winner at the Olympics in 1908?,sports,multihop,multihop,entity,single,Germany,1,7,True,True
mintaka_test_14ee3ef7,mintaka,test,14ee3ef7,What is the ocean that is closest to where the South Pole is?,geography,multihop,multihop,entity,single,Southern Ocean,1,7,True,True
mintaka_test_155f4506,mintaka,test,155f4506,Who is the protagonist in the second Legend of Zelda game?,videogames,multihop,multihop,entity,single,Link,1,7,True,True
mintaka_test_1a216bc7,mintaka,test,1a216bc7,What is the name of the capital city of the country that only shares a border with Spain?,geography,multihop,multihop,entity,single,Lisbon,1,7,True,True
mintaka_test_1be89328,mintaka,test,1be89328,Who was US president during the Great Depression?,politics,multihop,multihop,entity,single,Herbert Hoover,1,7,True,True
mintaka_test_1c572c13,mintaka,test,1c572c13,Which quarterback had the most passing yards in Super Bowl XXX?,sports,multihop,multihop,entity,single,Neil O'Donnell,1,7,True,True
mintaka_test_1dd7a7b0,mintaka,test,1dd7a7b0,Who was the wife of the 34th U.S. president?,politics,multihop,multihop,entity,single,Mamie Eisenhower,1,7,True,True
mintaka_test_1de0209d,mintaka,test,1de0209d,What is the largest national park in the westernmost state in the U.S.?,geography,multihop,multihop,entity,single,Wrangell-St. Elias National Park & Preserve,1,7,True,True
mintaka_test_1e37b049,mintaka,test,1e37b049,What was the name of the female hero whose main boss they fought was a giant brain?,videogames,multihop,multihop,entity,single,Samus Aran,1,7,True,True
mintaka_test_1e6cdae4,mintaka,test,1e6cdae4,Where was the coach of Kentucky basketball born?,sports,multihop,multihop,entity,single,"Moon Township, Pennsylvania",1,7,True,True
mintaka_test_1f1cac50,mintaka,test,1f1cac50,Where was the author that wrote Harry Potter born?,books,multihop,multihop,entity,single,"Yate, United Kingdom",1,7,True,True
mintaka_test_2023d048,mintaka,test,2023d048,What is the smallest country containing part of the Sahara desert?,geography,multihop,multihop,entity,single,Tunisia,1,7,True,True
mintaka_test_203bdcce,mintaka,test,203bdcce,Which quarterback has six Super Bowl rings from winning?,sports,multihop,multihop,entity,single,Tom Brady,1,7,True,True
mintaka_test_20a81971,mintaka,test,20a81971,What is the name of the brother of the main character of Uncharted?,videogames,multihop,multihop,entity,single,Sam Drake,1,7,True,True
mintaka_test_2371a38a,mintaka,test,2371a38a,Which player on the cover of the video game NHL 96 played for the Detroit Red Wings?,videogames,multihop,multihop,entity,single,Steve Yzerman,1,7,True,True
mintaka_test_249c69f3,mintaka,test,249c69f3,Who was the wife of the 21st president?,politics,multihop,multihop,entity,single,Eliza Johnson,1,7,True,True
mintaka_test_24aca597,mintaka,test,24aca597,Who was the youngest daughter of the last tsar of Russia?,history,multihop,multihop,entity,single,Anastasia Nikolaevna Romanova,1,7,True,True
mintaka_test_25441950,mintaka,test,25441950,Who was the wife of the 27th US president?,politics,multihop,multihop,entity,single,Helen Taft,1,7,True,True
mintaka_test_2601ab50,mintaka,test,2601ab50,Who is the child of the 42nd president of the United States?,politics,multihop,multihop,entity,single,Chelsea Clinton,1,7,True,True
mintaka_test_286d66d0,mintaka,test,286d66d0,Who was the last wife of the main character featured in the Last Samurai?,movies,multihop,multihop,entity,single,Katie Holmes,1,7,True,True
mintaka_test_2970ba62,mintaka,test,2970ba62,Where did the lead singer of Maroon 5 go to school besides Five Towns College?,music,multihop,multihop,entity,single,Brentwood School,1,7,True,True
mintaka_test_29e41448,mintaka,test,29e41448,In what country was the inventor of the telephone born?,history,multihop,multihop,entity,single,Scotland,1,7,True,True
mintaka_test_2a337efe,mintaka,test,2a337efe,What is the first game for the SNES in the series that features Link as the hero?,videogames,multihop,multihop,entity,single,A Link to the Past,1,7,True,True
mintaka_test_2b204b39,mintaka,test,2b204b39,What female character debuted in the second game of the Street Fighter series?,videogames,multihop,multihop,entity,single,Chun-Li,1,7,True,True
mintaka_test_2b73e270,mintaka,test,2b73e270,Who is the protagonist in the twelfth Final Fantasy game?,videogames,multihop,multihop,entity,single,Vaan,1,7,True,True
mintaka_test_2b7aada8,mintaka,test,2b7aada8,Who was the US president when Lehman Brothers went bankrupt?,history,multihop,multihop,entity,single,Barack Obama,1,7,True,True
mintaka_test_2ca966f5,mintaka,test,2ca966f5,Who is the main protagonist of the fourth Resident Evil game?,videogames,multihop,multihop,entity,single,Leon Kennedy,1,7,True,True
mintaka_test_2e1d5579,mintaka,test,2e1d5579,Who was the wife of the 23rd US president?,politics,multihop,multihop,entity,single,Mary Harrison McKee,1,7,True,True
mintaka_test_2f46cfa2,mintaka,test,2f46cfa2,What is the tallest mountain in the largest country in Asia?,geography,multihop,multihop,entity,single,Mt. Everest,1,7,True,True
mintaka_test_320fb044,mintaka,test,320fb044,Who was the vice president of the 44th president?,politics,multihop,multihop,entity,single,Joe Biden,1,7,True,True
mintaka_test_376635f2,mintaka,test,376635f2,"During WWI, which country was a part of the Allied alliance until 1917?",history,multihop,multihop,entity,single,Russia,1,7,True,True
mintaka_test_3823137d,mintaka,test,3823137d,What is the name of the dead river that flows through the capital city of India?,geography,multihop,multihop,entity,single,Yamuna,1,7,True,True
mintaka_test_382334b3,mintaka,test,382334b3,Who was the king of Great Britain when they invaded America during the American Revolution?,history,multihop,multihop,entity,single,King George III,1,7,True,True
mintaka_test_389a0d4d,mintaka,test,389a0d4d,Who was the quarterback of the team that won Super Bowl LII?,sports,multihop,multihop,entity,single,Nick Foles,1,7,True,True
mintaka_test_3ba52364,mintaka,test,3ba52364,Which brother of the 35th U.S. president was also assassinated?,history,multihop,multihop,entity,single,Robert F. Kennedy,1,7,True,True
mintaka_test_3c79e320,mintaka,test,3c79e320,What is the name of the kingdom that the love interest to Luigi's younger brother rules over?,videogames,multihop,multihop,entity,single,Mushroom Kingdom,1,7,True,True
mintaka_test_3d0a6186,mintaka,test,3d0a6186,What college did the Patriots first round draft pick in 2021 go to?,sports,multihop,multihop,entity,single,University of Alabama,1,7,True,True
mintaka_test_3f59e3d1,mintaka,test,3f59e3d1,In which city was the actor who played Jordan in Wolf of Wall Street born?,movies,multihop,multihop,entity,single,Los Angeles,1,7,True,True
mintaka_test_42dc16aa,mintaka,test,42dc16aa,Who is the AI companion of the protagonist of Halo: Combat Evolved?,videogames,multihop,multihop,entity,single,Cortana,1,7,True,True
mintaka_test_447274f8,mintaka,test,447274f8,Who was the starting first baseman for the 1927 World Series Champions?,sports,multihop,multihop,entity,single,Lou Gehrig,1,7,True,True
mintaka_test_451704fa,mintaka,test,451704fa,What state is the current vice president of the US from?,politics,multihop,multihop,entity,single,California,1,7,True,True
mintaka_test_462136e5,mintaka,test,462136e5,The Dark Tower is a movie based on a book series by what author?,books,multihop,multihop,entity,single,Stephen King,1,7,True,True
mintaka_test_46b07eff,mintaka,test,46b07eff,What state was the person elected president in 1980 once governor of?,politics,multihop,multihop,entity,single,California,1,7,True,True
mintaka_test_471d7e45,mintaka,test,471d7e45,Which country does the actor who played Thor belong to?,movies,multihop,multihop,entity,single,Australia,1,7,True,True
mintaka_test_47fb38e9,mintaka,test,47fb38e9,Who is the protagonist in the eighth Final Fantasy game?,videogames,multihop,multihop,entity,single,Squall Leonhart,1,7,True,True
mintaka_test_49c7eb1c,mintaka,test,49c7eb1c,What religion was the president in 1963?,politics,multihop,multihop,entity,single,Catholic,1,7,True,True
mintaka_test_4a091d14,mintaka,test,4a091d14,Which defensive player was featured on the cover of the 26th game in the Madden NFL series?,videogames,multihop,multihop,entity,single,Richard Sherman,1,7,True,True
mintaka_test_4a4e0a58,mintaka,test,4a4e0a58,"What party did the US president during the September 11, 2001 terrorist attacks belong to?",politics,multihop,multihop,entity,single,Republican,1,7,True,True
mintaka_test_4a8c7ac9,mintaka,test,4a8c7ac9,Where did the author of Pet Sematary go to college?,books,multihop,multihop,entity,single,University of Maine,1,7,True,True
mintaka_test_4b06241f,mintaka,test,4b06241f,What state is the largest building in America in?,geography,multihop,multihop,entity,single,New York,1,7,True,True
mintaka_test_4bb50573,mintaka,test,4bb50573,What is the capital of the state that touches four of the Great Lakes?,geography,multihop,multihop,entity,single,Lansing,1,7,True,True
mintaka_test_4ded8418,mintaka,test,4ded8418,What's the tallest building in the state where Yosemite National Park is located?,geography,multihop,multihop,entity,single,Wilshire Grand Center,1,7,True,True
mintaka_test_4fafaad0,mintaka,test,4fafaad0,Who is the protagonist of Final Fantasy VII's prequel?,videogames,multihop,multihop,entity,single,Zack Fair,1,7,True,True
mintaka_test_513f3181,mintaka,test,513f3181,What is the oldest monument in the capital of France?,geography,multihop,multihop,entity,single,Arenes de Lutece,1,7,True,True
mintaka_test_53461a9b,mintaka,test,53461a9b,Who was the first wife of the current U.S. president?,politics,multihop,multihop,entity,single,Neilia Hunter,1,7,True,True
mintaka_test_54a98d11,mintaka,test,54a98d11,"Who is the spouse of the singer of ""Love on Top""?",music,multihop,multihop,entity,single,JAY-Z,1,7,True,True
mintaka_test_56216713,mintaka,test,56216713,Where did the author who wrote the Baby-Sitters Club books attend university?,books,multihop,multihop,entity,single,Smith College,1,7,True,True
mintaka_test_59aafd07,mintaka,test,59aafd07,What was the code name for Solid Snakes brother in Metal Gear Solid?,videogames,multihop,multihop,entity,single,Liquid Snake,1,7,True,True
mintaka_test_5a26acc1,mintaka,test,5a26acc1,Who was the manager of the team that won the World Series in 1999?,sports,multihop,multihop,entity,single,Joe Torre,1,7,True,True
mintaka_test_5a581245,mintaka,test,5a581245,Where was the 16th president of the United States born?,history,multihop,multihop,entity,single,"Sinking Spring Farm near Hodgenville, Kentucky",1,7,True,True
mintaka_test_5aec577b,mintaka,test,5aec577b,Who was the pitcher that got the save in the Dodgers world series winning game last year in 2020?,sports,multihop,multihop,entity,single,Julio Urias,1,7,True,True
mintaka_test_5bfe714a,mintaka,test,5bfe714a,Where was the actress who played Hermonie born?,movies,multihop,multihop,entity,single,"Paris, France",1,7,True,True
mintaka_test_5cac01c3,mintaka,test,5cac01c3,Who was the wife of the 4th president of the United States?,politics,multihop,multihop,entity,single,Dolly Madison,1,7,True,True
mintaka_test_5e25e816,mintaka,test,5e25e816,Where was the singer of Call Me Maybe born?,music,multihop,multihop,entity,single,Canada,1,7,True,True
mintaka_test_635d668d,mintaka,test,635d668d,What is the smallest principality in Europe?,geography,multihop,multihop,entity,single,Monaco,1,7,True,True
mintaka_test_646eea54,mintaka,test,646eea54,"Which party was in charge of the White House from January 20th,1993- January 20th, 2001?",politics,multihop,multihop,entity,single,The Democratic Party,1,7,True,True
mintaka_test_66007115,mintaka,test,66007115,Who was the assassin of the man who was president of the United States in 1865?,history,multihop,multihop,entity,single,John Wilkes Booth,1,7,True,True
mintaka_test_662bb176,mintaka,test,662bb176,Where is the actor who played James Bond in Skyfall from?,movies,multihop,multihop,entity,single,"Chester, United Kingdom",1,7,True,True
mintaka_test_6a65e36f,mintaka,test,6a65e36f,Who was the point guard of the team that won the NBA Finals in 2008?,sports,multihop,multihop,entity,single,Rajon Rondo,1,7,True,True
mintaka_test_6b28a5cc,mintaka,test,6b28a5cc,What is the tallest building in the westernmost city of Germany?,geography,multihop,multihop,entity,single,Commerzbank Tower,1,7,True,True
mintaka_test_6bd6507f,mintaka,test,6bd6507f,Who was the leader of the country that invaded Kuwait in 1990?,history,multihop,multihop,entity,single,Saddam Hussein,1,7,True,True
mintaka_test_6c6fc7e1,mintaka,test,6c6fc7e1,Who was the vice president of the 42nd president of the United States?,politics,multihop,multihop,entity,single,Al Gore,1,7,True,True
mintaka_test_6d9544a9,mintaka,test,6d9544a9,Which team did the Super Bowl XLII MVP play for?,sports,multihop,multihop,entity,single,New York Giants,1,7,True,True
mintaka_test_6ef2d943,mintaka,test,6ef2d943,Who was the quarterback of the team that won Super Bowl LI?,sports,multihop,multihop,entity,single,Tom Brady,1,7,True,True
mintaka_test_6f563aa3,mintaka,test,6f563aa3,What is the name of the individual whose tomb contains the artifact that Lara is searching for in Tomb Raider?,videogames,multihop,multihop,entity,single,Qualopec,1,7,True,True
mintaka_test_7667a3ed,mintaka,test,7667a3ed,What is the currency of the country whose capital city is New Delhi?,geography,multihop,multihop,entity,single,Indian rupee,1,7,True,True
mintaka_test_77ea9f45,mintaka,test,77ea9f45,Who is the main character of the Final Fantasy game that features the Junction system?,videogames,multihop,multihop,entity,single,Squall Leonhart,1,7,True,True
mintaka_test_78a31f7a,mintaka,test,78a31f7a,What is the current coach's name of the team that has won the most NCAA Division I Baseball Championships?,sports,multihop,multihop,entity,single,Jason Gill,1,7,True,True
mintaka_test_78f3bf4f,mintaka,test,78f3bf4f,What is the capital of the country where the Eiffel Tower is located?,geography,multihop,multihop,entity,single,Paris,1,7,True,True
mintaka_test_7b5fc631,mintaka,test,7b5fc631,How did the original lead singer of Sublime die?,music,multihop,multihop,entity,single,Heroin overdose,1,7,True,True
mintaka_test_7c9fbf32,mintaka,test,7c9fbf32,What is the tallest building in the capital of Texas?,geography,multihop,multihop,entity,single,The Independent,1,7,True,True
mintaka_test_7d30c79d,mintaka,test,7d30c79d,What is the capital city of the U.S. state that was the 45th to join the Union?,geography,multihop,multihop,entity,single,Salt Lake City,1,7,True,True
mintaka_test_7d603c42,mintaka,test,7d603c42,What is the tallest building in the capital city of Nigeria?,geography,multihop,multihop,entity,single,NECOM House,1,7,True,True
mintaka_test_7d60f984,mintaka,test,7d60f984,The author of On the Road attended what Ivy League school?,books,multihop,multihop,entity,single,Columbia University,1,7,True,True
mintaka_test_7d62890c,mintaka,test,7d62890c,Who directed the movie that's based on the fourth Twilight book?,books,multihop,multihop,entity,single,Bill Condon,1,7,True,True
mintaka_test_7dc9a720,mintaka,test,7dc9a720,The queen who was beheaded during the French Revolution was originally from what country?,history,multihop,multihop,entity,single,Austria,1,7,True,True
mintaka_test_7e71394c,mintaka,test,7e71394c,What team had the highest scorer in the 2009-2010 NBA season?,sports,multihop,multihop,entity,single,Oklahoma City Thunder,1,7,True,True
mintaka_test_7ffb3a16,mintaka,test,7ffb3a16,Who was the Vietnamese general that led North Vietnam in their attack of Saigon in 1975?,history,multihop,multihop,entity,single,Văn Tiến Dũng,1,7,True,True
mintaka_test_81852792,mintaka,test,81852792,Where was the actor who played the main character in Saving Private Ryan born?,movies,multihop,multihop,entity,single,"Concord, CA",1,7,True,True
mintaka_test_82f8da1f,mintaka,test,82f8da1f,Who was the developer of the third game installment in the Persona series?,videogames,multihop,multihop,entity,single,Atlus,1,7,True,True
mintaka_test_839ae432,mintaka,test,839ae432,Who directed the movie that's based on the second book in the Hunger Games series?,books,multihop,multihop,entity,single,Francis Lawrence,1,7,True,True
mintaka_test_83fe7be2,mintaka,test,83fe7be2,What developer created the game that won The Game Awards 2018 Game of the Year award?,videogames,multihop,multihop,entity,single,Santa Monica Studio,1,7,True,True
mintaka_test_85e4abb6,mintaka,test,85e4abb6,What party did the US president during the Iraq war belong to?,politics,multihop,multihop,entity,single,Republican Party,1,7,True,True
mintaka_test_87565580,mintaka,test,87565580,What party did the U.S. president during September 11 belong to?,politics,multihop,multihop,entity,single,Republican,1,7,True,True
mintaka_test_87781622,mintaka,test,87781622,What is the first name of the second Russian president's wife?,history,multihop,multihop,entity,single,Lyudmila,1,7,True,True
mintaka_test_8924ae2a,mintaka,test,8924ae2a,Where was the singer of Led Zeppelin born?,music,multihop,multihop,entity,single,"West Bromwich, United Kingdom",1,7,True,True
mintaka_test_8928be77,mintaka,test,8928be77,What was the former occupation of the author who wrote the Twilight saga?,books,multihop,multihop,entity,single,Receptionist,1,7,True,True
mintaka_test_8a4d0041,mintaka,test,8a4d0041,What is the name of the river that runs through the capital city of England?,geography,multihop,multihop,entity,single,The Thames,1,7,True,True
mintaka_test_8aa5ce57,mintaka,test,8aa5ce57,Who was the wife of the second president of the United States?,history,multihop,multihop,entity,single,Abigail Adams,1,7,True,True
mintaka_test_8c12eccc,mintaka,test,8c12eccc,Who was the leader of North Vietnam during the Vietnam War?,history,multihop,multihop,entity,single,Ho Chi Minh,1,7,True,True
mintaka_test_8eec0aeb,mintaka,test,8eec0aeb,Who was the quarterback of the team that won Super Bowl 32?,sports,multihop,multihop,entity,single,John Elway,1,7,True,True
mintaka_test_906b8b7f,mintaka,test,906b8b7f,What was the occupation of Abraham Lincoln's assassin?,history,multihop,multihop,entity,single,Actor,1,7,True,True
mintaka_test_90dd6ba6,mintaka,test,90dd6ba6,Who was the wife of the shortest-serving U.S. president?,politics,multihop,multihop,entity,single,Anna Symmes,1,7,True,True
mintaka_test_916271fd,mintaka,test,916271fd,What is the capital of the country where Mount Fuji is located?,geography,multihop,multihop,entity,single,Tokyo,1,7,True,True
mintaka_test_91ecebc6,mintaka,test,91ecebc6,Who directed the movie that was also based on the first Star Wars book?,books,multihop,multihop,entity,single,George Lucas,1,7,True,True
mintaka_test_92244aa2,mintaka,test,92244aa2,Who is the wife of the 45th president of the United States?,politics,multihop,multihop,entity,single,Melania Trump,1,7,True,True
mintaka_test_9624c10b,mintaka,test,9624c10b,What is the capital of the country with the largest land area in the world?,geography,multihop,multihop,entity,single,Moscow,1,7,True,True
mintaka_test_98a62ee9,mintaka,test,98a62ee9,Who was the leader of the army that lost the Battle of Waterloo in 1815?,history,multihop,multihop,entity,single,Napoleon Bonaparte,1,7,True,True
mintaka_test_98cc0093,mintaka,test,98cc0093,Who is the wife of the 46th president of the United States?,politics,multihop,multihop,entity,single,Jill Biden,1,7,True,True
